fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
P31941_pIC50	28	19	85	54	33	23	54	33	5	3	38	18	17	5	39	19	17	8	59	17	19	11	76	17	31	19	38	21	18	11	52	30
P32238_pIC50	30	22	36	22	29	24	41	28	9	8	16	8	10	9	12	9	16	9	22	15	28	18	33	23	9	3	30	5	4	3	18	4
P33032_pKi	20	16	22	18	23	17	27	21	19	10	22	13	19	12	20	12	34	27	36	29	28	24	39	27	18	13	53	13	21	17	56	28
P33261_pKi	6	4	8	5	7	4	8	4	5	3	5	3	5	3	5	3	7	4	31	9	8	3	24	8	6	1	6	1	6	5	11	6
P34903_pKi	20	17	33	17	19	15	59	43	9	7	10	8	17	11	21	11	32	21	58	45	34	25	69	32	18	10	38	20	31	20	44	30
P34995_pIC50	11	5	29	11	10	4	28	11	8	7	27	9	8	7	14	7	28	20	42	39	19	14	45	40	24	17	34	20	18	8	36	23
P35218_pKi	20	17	27	17	26	17	41	22	12	8	14	8	21	10	45	21	22	11	88	63	26	16	84	60	11	4	30	8	20	6	30	12
P35236_pIC50	13	7	64	47	15	9	22	14	12	4	15	5	7	5	7	5	21	16	31	19	15	10	46	23	9	3	44	11	5	2	16	4
P35346_pIC50	10	5	51	10	8	6	8	6	6	2	6	2	8	5	8	5	16	3	22	16	4	3	27	3	6	1	29	14	8	3	38	6
P37173_pIC50	5	2	15	5	3	2	30	20	1	1	5	1	2	1	7	1	5	1	6	1	7	0	10	1	3	2	14	3	2	1	15	3
P37231_pKi	14	6	26	14	26	8	29	17	12	6	54	23	11	5	29	8	8	3	13	3	10	4	17	4	7	4	27	5	8	3	15	8
P37288_pIC50	21	11	55	13	17	7	43	20	10	6	26	10	15	7	39	19	11	3	34	16	17	8	17	8	10	1	18	3	4	1	20	3
P41145_pIC50	25	16	35	18	16	13	44	37	10	10	25	12	12	10	56	17	27	23	45	32	26	25	37	27	19	9	66	38	15	8	63	28
P41968_pEC50	24	13	31	21	17	7	43	29	20	12	29	21	19	8	19	13	25	16	27	16	11	9	24	15	9	5	33	11	6	5	12	5
P42345_pIC50	22	17	35	17	46	34	59	41	19	11	32	15	44	38	71	55	21	19	42	29	47	38	81	57	10	9	61	37	24	9	104	88
P43119_pKi	14	6	34	19	7	4	11	4	6	4	23	11	9	6	11	7	8	7	13	7	7	4	7	4	7	5	12	6	7	4	15	5
P43235_pKi	17	15	24	15	13	11	33	12	11	10	16	10	12	10	16	10	25	9	58	50	31	26	48	30	25	9	52	18	22	7	52	22
P45452_pKi	20	10	23	16	10	7	25	11	14	8	22	8	22	11	22	11	23	10	33	16	7	3	16	8	9	6	20	7	7	5	8	5
P45983_pIC50	27	16	86	60	23	15	43	28	22	9	22	9	24	12	60	33	21	17	64	41	41	25	62	53	8	6	49	18	17	7	30	9
P47712_pIC50	20	12	20	12	13	8	47	24	9	7	14	7	21	8	27	12	26	14	42	28	35	17	44	34	12	7	30	13	17	4	42	25
P47871_pIC50	28	24	34	28	28	25	31	28	16	9	36	15	15	10	31	10	16	13	22	13	17	12	23	13	10	7	11	8	10	8	61	13
P49759_pIC50	18	9	20	9	8	4	9	6	6	4	20	7	8	4	14	7	20	12	34	17	15	9	20	11	33	9	36	9	21	5	21	5
P49798_pEC50	11	5	19	5	10	3	21	4	6	4	9	4	5	4	5	4	10	5	38	10	10	5	11	5	2	1	3	2	3	2	3	2
P50406_pIC50	27	20	43	29	21	17	62	31	11	9	18	11	27	11	64	36	16	12	19	13	28	21	65	41	17	10	45	20	13	9	52	20
P55072_pIC50	8	4	41	19	8	6	43	7	5	3	31	6	12	5	12	5	22	12	52	39	16	8	56	28	19	7	42	21	22	13	43	20
P60953_pKi	8	7	13	7	11	7	11	7	10	7	16	7	7	7	7	7	19	5	28	6	4	2	8	4	6	4	19	6	5	4	6	4
P62937_pIC50	6	4	7	6	8	5	8	5	2	1	40	21	2	1	6	1	6	2	6	2	8	5	8	5	1	0	12	1	0	0	7	0
Q04609_pKi	5	3	14	3	6	3	8	3	5	1	14	4	5	1	5	1	11	10	24	12	12	10	14	10	12	7	26	10	9	7	13	9
