fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
P24941_pIC50	44	41	136	86	83	59	99	96	65	50	85	61	70	55	145	132	65	52	154	145	68	54	95	84	61	46	106	74	67	52	143	85
P25021_pIC50	9	2	34	10	9	3	13	10	0	0	11	0	0	0	0	0	13	7	19	12	17	10	17	10	5	0	7	3	3	0	6	2
P25024_pKi	21	14	22	17	25	22	25	22	21	4	47	25	17	4	34	15	13	11	13	11	23	13	43	22	4	3	4	3	3	3	4	3
P27695_pIC50	14	7	44	17	12	7	16	12	22	1	50	22	10	1	31	18	6	4	12	8	6	3	27	8	3	2	7	2	2	2	8	2
P27815_pIC50	18	14	58	20	28	20	77	60	25	17	50	20	40	24	76	50	31	28	34	29	31	27	67	52	30	15	36	17	46	24	71	43
P27986_pIC50	14	11	21	13	19	14	26	15	18	10	31	11	26	13	52	31	24	16	58	38	36	28	47	36	17	6	52	28	24	7	43	22
P28335_pEC50	22	9	32	14	22	6	36	16	15	5	22	8	15	6	47	20	5	1	53	36	42	2	63	43	22	6	104	18	17	6	132	83
P28336_pKi	16	9	31	11	10	5	27	10	7	2	18	3	3	2	3	2	14	7	36	21	31	14	37	24	10	4	12	5	18	8	24	8
P30291_pIC50	28	18	32	24	25	21	30	23	3	1	38	4	3	1	56	9	25	14	27	16	21	15	42	29	8	1	59	1	11	1	77	21
P30405_pKd	15	10	15	10	16	9	16	9	0	0	12	0	0	0	0	0	20	15	24	17	15	8	15	8	0	0	0	0	0	0	0	0
P30518_pIC50	19	16	42	18	24	18	42	31	11	2	42	26	18	4	46	28	24	10	66	48	56	21	64	58	10	2	112	89	14	2	138	53
P31749_pIC50	44	37	80	63	62	52	66	61	38	20	67	47	69	57	71	59	55	44	82	72	77	69	86	80	67	53	107	70	63	50	103	63
P34949_pIC50	6	4	9	4	7	5	7	5	2	2	7	2	4	2	4	2	10	5	19	6	8	3	19	9	20	8	26	9	9	2	17	2
P35236_pIC50	12	7	59	22	19	12	29	15	5	2	58	21	24	9	56	25	19	9	27	15	23	19	28	23	11	5	13	5	12	5	37	15
P35346_pIC50	19	14	19	14	19	12	22	19	17	8	33	17	13	6	33	14	25	6	47	33	32	8	53	36	11	4	26	9	4	2	55	12
P35869_pEC50	19	8	28	18	9	7	31	7	8	2	73	55	4	2	75	57	14	3	62	33	13	4	43	13	8	5	13	6	15	5	21	9
P39086_pIC50	2	2	4	2	2	2	2	2	1	0	2	0	1	0	1	0	26	4	37	8	16	3	36	16	13	3	31	12	4	0	14	1
P41235_pIC50	18	6	26	15	25	8	39	18	7	2	19	2	6	2	24	3	7	4	17	6	10	5	30	10	7	3	50	23	19	2	35	11
