N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
P00740_pKi	204	51	166	0.88929
P00742_pIC50	1560	391	166	0.86451
P00742_pKi	2644	661	166	0.92158
P00747_pIC50	261	66	166	0.84871
P00747_pKi	469	118	166	0.93299
P00748_pIC50	151	38	166	0.62083
P00748_pKi	146	37	166	0.86905
P00749_pIC50	196	50	166	0.95
P00749_pKi	684	171	166	0.92306
P00750_pIC50	93	24	166	0.92632
P00750_pKi	224	57	166	0.79719
P00797_pIC50	2102	526	166	0.86495
P00797_pKi	88	23	166	0.95385
P00915_pIC50	148	37	166	0.90205
P00915_pKd	84	22	166	0.6
P00915_pKi	3165	792	166	0.92075
P00918_pIC50	401	101	166	0.94508
P00918_pKd	217	55	166	0.94697
P00918_pKi	3295	824	166	0.93079
P01375_pIC50	671	168	166	0.87884
P03372_pEC50	535	134	166	0.84568
P03372_pIC50	1368	343	166	0.9468
P03372_pKi	242	61	166	0.88971
P03951_pIC50	187	47	166	0.775
P03951_pKi	139	35	166	0.96212
P03952_pKi	128	32	166	0.92262
P03956_pIC50	1521	381	166	0.89609
P03956_pKi	517	130	166	0.94097
P04035_pIC50	172	44	166	0.97266
P04054_pIC50	388	97	166	0.97727
P04062_pIC50	264	67	166	0.83784
P04062_pKi	141	36	166	0.89062
P04066_pIC50	54	14	166	0.89796
P04150_pEC50	436	110	166	0.87312
P04150_pIC50	1076	270	166	0.86145
P04150_pKi	584	147	166	0.9447
P04278_pKd	72	19	166	0.88462
P04626_pIC50	1289	323	166	0.94024
P04629_pIC50	225	57	166	0.6266
P04798_pIC50	104	26	166	0.85455
P04818_pIC50	220	56	166	0.78255
P04818_pKi	181	46	166	0.78558
P05067_pIC50	186	47	166	0.91273
P05093_pIC50	314	79	166	0.70746
P05106_pIC50	922	231	166	0.86036
P05106_pKi	152	39	166	0.76786
P05121_pIC50	188	48	166	0.84545
P05129_pIC50	120	30	166	0.94737
P05164_pIC50	121	31	166	0.85101
P05186_pIC50	334	84	166	0.81847
P05230_pKd	92	23	166	0.8125
P05412_pIC50	131	33	166	0.90741
P05771_pIC50	248	62	166	0.80095
P06213_pIC50	465	117	166	0.80728
P06239_pIC50	1108	278	166	0.89287
P06239_pKd	101	26	166	0.95238
P06241_pIC50	104	27	166	0.88462
P06401_pEC50	359	90	166	0.73875
P06401_pIC50	1022	256	166	0.85627
P06401_pKi	388	98	166	0.80755
P06493_pIC50	1294	324	166	0.89203
P06493_pKi	108	28	166	0.72812
P06870_pKi	69	18	166	0.825
P07099_pIC50	135	34	166	0.90208
P07333_pIC50	476	120	166	0.90136
P07339_pIC50	807	202	166	0.83601
P07339_pKi	208	52	166	0.81324
P07384_pIC50	292	73	166	0.95273
P07384_pKi	184	46	166	0.92042
P07477_pIC50	316	80	166	0.91635
P07477_pKi	1094	274	166	0.9494
P07550_pEC50	532	134	166	0.90606
P07550_pIC50	376	95	166	0.84043
P07550_pKd	78	20	166	0.87363
P07550_pKi	339	85	166	0.87158
P07711_pIC50	580	145	166	0.80759
P07711_pKi	380	96	166	0.88046
P07858_pIC50	480	120	166	0.91004
P07858_pKi	342	86	166	0.88136
P07900_pIC50	560	140	166	0.90851
P07900_pKd	95	24	166	0.98519
P07948_pIC50	170	43	166	0.87808
P07949_pIC50	337	85	166	0.91061
P08069_pIC50	933	234	166	0.88195
P08069_pKi	44	11	166	0.8
P08172_pEC50	71	18	166	0.74675
P08172_pIC50	304	76	166	0.86827
P08172_pKi	700	175	166	0.86511
P08173_pEC50	144	36	166	0.77435
P08173_pIC50	112	29	166	0.62745
P08173_pKi	264	66	166	0.86305
P08183_pEC50	256	64	166	0.85525
P08183_pIC50	444	112	166	0.76208
P08183_pKi	141	36	166	0.73153
P08235_pIC50	455	114	166	0.67963
P08235_pKi	82	21	166	0.84545
P08238_pEC50	127	32	166	0.79792
P08238_pIC50	376	94	166	0.85785
P08246_pIC50	540	136	166	0.84287
P08246_pKi	745	187	166	0.89797
P08253_pIC50	2002	501	166	0.93723
P08253_pKi	578	145	166	0.83503
P08254_pIC50	992	248	166	0.89409
P08254_pKi	496	124	166	0.83725
P08311_pIC50	185	47	166	0.80656
P08473_pIC50	234	59	166	0.87576
P08514_pIC50	1299	325	166	0.89662
P08514_pKi	124	32	166	0.8902
P08575_pIC50	176	45	166	0.76444
P08581_pIC50	1694	424	166	0.91099
P08581_pKi	173	44	166	0.88031
P08588_pEC50	412	103	166	0.82099
P08588_pIC50	397	100	166	0.89556
P08588_pKd	60	16	166	0.96667
P08588_pKi	231	58	166	0.81801
P08631_pIC50	104	27	166	0.93929
P08648_pIC50	186	47	166	0.90417
P08684_pIC50	2123	531	166	0.81591
P08684_pKi	107	27	166	0.85714
P08709_pIC50	277	70	166	0.8005
P08709_pKi	338	85	166	0.8061
P08842_pIC50	329	83	166	0.86939
P08908_pEC50	503	126	166	0.97846
P08908_pIC50	371	93	166	0.8774
P08908_pKi	2214	554	166	0.83836
P08912_pEC50	86	22	166	0.89583
P08912_pIC50	124	31	166	0.78542
P08912_pKi	232	58	166	0.89818
P08913_pIC50	93	24	166	0.93519
P08913_pKi	500	125	166	0.84389
P09038_pKd	94	24	166	0.91852
P09211_pIC50	84	21	166	0.9898
P09237_pIC50	275	69	166	0.87331
P09237_pKi	96	25	166	0.89474
P09467_pIC50	308	77	166	0.93058
P09488_pEC50	179	45	166	0.23718
P09619_pIC50	1100	276	166	0.84769
P09871_pKi	83	21	166	0.87037
P09874_pEC50	193	49	166	0.90256
P09874_pIC50	978	245	166	0.90329
P09917_pEC50	55	14	166	0.7449
P09917_pIC50	1333	334	166	0.88054
P09958_pKi	173	44	166	0.94124
P09960_pIC50	380	96	166	0.8879
P0DMS8_pIC50	265	67	166	0.87381
P0DMS8_pKi	2360	590	166	0.87227
P10275_pEC50	336	84	166	0.96622
P10275_pIC50	990	248	166	0.9181
P10275_pKi	617	155	166	0.89117
P10276_pEC50	52	14	166	0.57778
P10323_pIC50	148	37	166	1
P10415_pEC50	128	32	166	0.97714
P10415_pIC50	260	66	166	0.87255
P10415_pKi	273	69	166	0.93205
P10632_pIC50	126	32	166	0.63782
P10635_pIC50	1391	348	166	0.81057
P10721_pIC50	549	138	166	0.88656
P10721_pKi	43	11	166	1
P10826_pKi	49	13	166	0.96429
P10827_pIC50	171	43	166	0.82111
P10828_pIC50	265	67	166	0.92619
P11086_pKi	137	35	166	0.94231
P11137_pIC50	78	20	166	0.87879
P11229_pEC50	315	79	166	0.88931
P11229_pIC50	404	101	166	0.82265
P11229_pKi	550	138	166	0.87358
P11309_pIC50	840	211	166	0.92302
P11309_pKi	348	88	166	0.96538
P11362_pIC50	751	188	166	0.8742
P11387_pEC50	101	26	166	0.85714
P11387_pIC50	229	58	166	0.88666
P11473_pIC50	216	55	166	0.97351
P11474_pIC50	100	26	166	0.7625
P11511_pIC50	1276	319	166	0.83618
P11511_pKi	352	88	166	0.86507
P11597_pIC50	689	173	166	0.86546
P11712_pIC50	1185	297	166	0.83038
P11802_pIC50	976	245	166	0.93858
P11802_pKi	66	17	166	0.88571
P12268_pIC50	368	93	166	0.80337
P12268_pKi	62	16	166	0.76364
P12821_pIC50	464	117	166	0.94355
P12931_pIC50	1958	490	166	0.91173
P12931_pKi	227	57	166	0.83618
P13497_pIC50	270	68	166	0.95278
P13569_pEC50	114	29	166	0.86869
P13569_pIC50	85	22	166	0.97143
P13612_pIC50	1062	266	166	0.89986
P13631_pKi	46	12	166	0.91667
P13726_pIC50	68	18	166	1
P13866_pIC50	248	62	166	0.90545
P13945_pEC50	909	228	166	0.84615
P13945_pKi	218	55	166	0.76087
P14061_pIC50	330	83	166	0.89062
P14174_pIC50	155	39	166	0.7803
P14222_pIC50	150	38	166	0.82708
P14324_pIC50	216	55	166	0.80532
P14324_pKi	68	18	166	0.72308
P14416_pEC50	232	58	166	0.95192
P14416_pIC50	326	82	166	0.82749
P14416_pKi	3849	963	166	0.84201
P14555_pIC50	340	86	166	0.88189
P14618_pEC50	54	14	166	0.69792
P14780_pIC50	1324	331	166	0.92158
P14780_pKi	535	134	166	0.90283
P14867_pEC50	100	26	166	0.95833
P14867_pKi	474	119	166	0.91861
P14902_pIC50	459	115	166	0.85417
P14902_pKi	95	24	166	0.97917
P14920_pIC50	151	38	166	0.85256
P15056_pIC50	563	141	166	0.88207
P15056_pKd	74	19	166	0.94444
P15090_pIC50	101	26	166	0.89216
P15121_pIC50	551	138	166	0.86791
P15144_pIC50	189	48	166	0.91812
P15144_pKi	107	27	166	0.74118
P15428_pIC50	165	42	166	0.58571
P15538_pIC50	554	139	166	0.89561
P16050_pIC50	161	41	166	0.88205
P16083_pIC50	196	50	166	0.9296
P16109_pIC50	185	47	166	0.96607
P16234_pIC50	261	66	166	0.81897
P16455_pIC50	52	13	166	0.91667
P16581_pIC50	227	57	166	0.99805
P17252_pIC50	380	96	166	0.83131
P17252_pKi	349	88	166	0.90509
P17612_pIC50	140	36	166	0.97818
P17706_pIC50	357	90	166	0.95012
P17706_pKi	91	23	166	0.88839
P17752_pIC50	152	39	166	0.80556
P17861_pIC50	751	188	166	0.67456
P17948_pIC50	597	150	166	0.85185
P18031_pIC50	1776	445	166	0.90722
P18031_pKi	408	103	166	0.9339
P18054_pIC50	115	29	166	0.63684
P18084_pIC50	210	53	166	0.91216
P18089_pKi	276	70	166	0.85444
P18405_pIC50	222	56	166	0.90671
P18405_pKi	105	27	166	0.8179
P18564_pIC50	100	26	166	0.56845
P18825_pKi	377	95	166	0.89103
P19099_pIC50	586	147	166	0.81049
P19320_pIC50	78	20	166	1
P19438_pIC50	88	23	166	0.91176
P19634_pIC50	217	55	166	0.9332
P19793_pEC50	225	57	166	0.61349
P19793_pIC50	113	29	166	0.87632
P20292_pIC50	372	94	166	0.86119
P20309_pEC50	60	16	166	0.59167
P20309_pIC50	424	106	166	0.83136
P20309_pKd	84	22	166	0.92083
P20309_pKi	635	159	166	0.94363
P20393_pEC50	55	14	166	0.75
P20618_pIC50	55	14	166	0.91667
P20648_pIC50	196	50	166	0.86806
P20701_pIC50	408	102	166	0.91605
P20839_pIC50	48	12	166	0.8
P20839_pKi	66	17	166	0.90278
P21397_pIC50	860	216	166	0.855
P21397_pKi	324	82	166	0.91312
P21452_pKi	390	98	166	0.95643
P21453_pEC50	1337	335	166	0.95274
P21462_pIC50	180	46	166	0.88442
P21554_pEC50	448	112	166	0.85965
P21554_pIC50	781	196	166	0.92854
P21554_pKi	1732	433	166	0.82799
P21728_pKi	566	142	166	0.8025
P21730_pIC50	200	51	166	0.86364
P21731_pIC50	371	93	166	0.8861
P21731_pKd	132	34	166	0.96429
P21731_pKi	264	67	166	0.87805
P21918_pKi	191	48	166	0.8463
P21980_pIC50	235	59	166	0.79118
P22001_pIC50	357	90	166	0.79292
P22303_pIC50	2314	579	166	0.93354
P22303_pKi	256	65	166	0.86243
P22460_pIC50	443	111	166	0.88985
P22748_pKi	455	114	166	0.92754
P22894_pIC50	448	113	166	0.9119
P22894_pKi	360	90	166	0.92622
P23141_pIC50	101	26	166	0.90476
P23141_pKi	145	37	166	0.83333
P23219_pIC50	1121	281	166	0.7276
P23280_pKi	219	55	166	0.91444
P23443_pIC50	530	133	166	0.83253
P23458_pEC50	108	27	166	0.8254
P23458_pIC50	516	130	166	0.79195
P23458_pKi	174	44	166	0.89693
P23526_pIC50	55	14	166	0.75
P23526_pKi	72	19	166	0.78571
P23946_pIC50	271	68	166	0.75
P23975_pEC50	43	11	166	0.93333
P23975_pIC50	1084	271	166	0.84792
P23975_pKi	985	247	166	0.89065
P24530_pIC50	696	175	166	0.90645
P24530_pKi	132	33	166	0.98519
P24557_pIC50	656	164	166	0.84225
P24941_pIC50	2348	588	166	0.87717
P24941_pKi	173	44	166	0.80025
P25021_pIC50	44	11	166	0.73333
P25021_pKi	203	51	166	0.95652
P25024_pIC50	112	29	166	0.8619
P25025_pIC50	340	85	166	0.89714
P25025_pKi	192	48	166	0.89355
P25090_pEC50	68	17	166	0.82143
P25100_pKi	660	165	166	0.90333
P25101_pIC50	894	224	166	0.8394
P25101_pKi	180	46	166	0.73415
P25103_pIC50	1304	327	166	0.76834
P25103_pKi	541	136	166	0.94691
P25105_pIC50	312	79	166	0.97473
P25116_pIC50	469	118	166	0.86969
P25440_pIC50	101	26	166	0.76667
P25774_pIC50	963	241	166	0.85481
P25774_pKi	348	88	166	0.90583
P25929_pIC50	290	73	166	0.94759
P25929_pKi	380	95	166	0.83832
P26010_pIC50	320	80	166	0.92965
P27338_pIC50	1244	312	166	0.86497
P27338_pKi	236	60	166	0.82558
P27487_pIC50	2362	591	166	0.92157
P27487_pKi	388	98	166	0.86975
P27815_pIC50	393	99	166	0.9036
P27815_pKi	71	18	166	0.96104
P27986_pIC50	391	98	166	0.82951
P28074_pIC50	242	61	166	0.80444
P28074_pKi	63	16	166	0.79688
P28221_pKi	596	149	166	0.92361
P28222_pKi	528	132	166	0.84719
P28335_pEC50	452	114	166	0.78993
P28335_pIC50	496	124	166	0.76042
P28335_pKi	1224	307	166	0.78251
P28336_pKi	59	15	166	0.92593
P28482_pIC50	277	70	166	0.89855
P28482_pKi	299	75	166	0.93538
P28715_pIC50	47	12	166	0.94286
P28845_pIC50	1808	452	166	0.86503
P28845_pKi	230	58	166	0.84174
P28907_pIC50	68	18	166	0.9375
P29274_pEC50	104	26	166	0.89167
P29274_pIC50	160	40	166	0.7957
P29274_pKi	2804	701	166	0.87921
P29275_pEC50	114	29	166	0.6
P29275_pIC50	304	76	166	0.81807
P29275_pKi	1134	284	166	0.94353
P29317_pIC50	63	16	166	0.92063
P29371_pIC50	188	48	166	0.76184
P29371_pKi	339	85	166	0.83737
P29375_pIC50	305	77	166	0.98978
P29401_pEC50	42	11	166	0.75
P29466_pIC50	363	91	166	0.95095
P29466_pKi	260	66	166	0.86759
P29597_pIC50	312	79	166	0.79449
P30291_pIC50	228	58	166	0.91006
P30305_pIC50	386	97	166	0.91423
P30411_pKi	141	36	166	0.76215
P30419_pIC50	92	23	166	0.79615
P30518_pEC50	108	27	166	0.65461
P30518_pKi	222	56	166	0.83611
P30530_pIC50	199	50	166	0.88476
P30542_pEC50	114	29	166	1
P30542_pIC50	159	40	166	0.87109
P30542_pKi	2384	597	166	0.85332
P30556_pIC50	624	157	166	0.99264
P30559_pEC50	120	31	166	0.75595
P30559_pKi	436	109	166	0.85497
P30872_pKi	134	34	166	0.82765
P30874_pKi	236	60	166	0.86519
P30939_pKi	118	30	166	0.9233
P30968_pIC50	564	141	166	0.98206
P30968_pKi	533	134	166	0.7981
P30989_pEC50	218	55	166	1
P30989_pKi	72	18	166	0.775
P31213_pIC50	225	57	166	0.78105
P31391_pKi	142	36	166	0.83438
P31639_pEC50	104	27	166	0.7967
P31639_pIC50	624	156	166	0.85649
P31644_pKi	483	121	166	0.92246
P31645_pIC50	1572	393	166	0.87997
P31645_pKi	1400	351	166	0.90032
P31749_pIC50	1152	289	166	0.9202
P31751_pIC50	371	93	166	0.75753
P32238_pIC50	260	65	166	0.95704
P32238_pKi	73	19	166	0.78333
P32239_pIC50	715	179	166	0.95429
P32239_pKi	240	61	166	0.84638
P32245_pEC50	740	186	166	0.73051
P32245_pIC50	557	140	166	0.85815
P32245_pKi	1197	300	166	0.9349
P32246_pIC50	448	112	166	0.77601
P32246_pKi	87	22	166	0.8125
P32247_pEC50	210	53	166	0.91254
P32297_pEC50	66	17	166	0.85
P32297_pIC50	51	13	166	1
P32745_pKi	180	45	166	0.85985
P33032_pEC50	157	40	166	0.81339
P33032_pKi	317	80	166	0.95298
P33261_pIC50	594	149	166	0.69283
P33527_pIC50	213	54	166	0.89394
P33981_pIC50	182	46	166	0.77917
P34903_pKi	485	122	166	0.89282
P34913_pIC50	1266	317	166	0.84835
P34947_pIC50	62	16	166	0.59091
P34969_pIC50	174	44	166	0.79265
P34969_pKi	897	225	166	0.84175
P34972_pEC50	918	230	166	0.86286
P34972_pIC50	561	141	166	0.91307
P34972_pKi	2110	528	166	0.84683
P34995_pKi	137	35	166	0.87587
P34998_pKi	1024	257	166	0.83516
P35218_pKi	244	62	166	0.94657
P35236_pIC50	364	91	166	0.81262
P35346_pKi	232	58	166	0.88394
P35348_pEC50	174	44	166	0.78728
P35348_pIC50	148	38	166	0.78544
P35348_pKi	888	222	166	0.93247
P35354_pIC50	2278	570	166	0.86979
P35367_pIC50	177	45	166	0.8858
P35367_pKi	833	209	166	0.93134
P35368_pIC50	59	15	166	0.83333
P35368_pKi	758	190	166	0.75316
P35372_pEC50	456	115	166	0.97302
P35372_pIC50	651	163	166	0.92331
P35372_pKi	1960	490	166	0.8624
P35408_pIC50	121	31	166	0.88667
P35408_pKi	302	76	166	0.96627
P35462_pIC50	132	33	166	0.64286
P35462_pKi	2507	627	166	0.87628
P35498_pIC50	122	31	166	0.56154
P35499_pIC50	100	26	166	0.33929
P35610_pIC50	258	65	166	0.8806
P35869_pEC50	154	39	166	0.89506
P35916_pIC50	188	48	166	0.85995
P35968_pIC50	3434	859	166	0.85884
P35968_pKi	154	39	166	0.98077
P36544_pEC50	268	68	166	0.84598
P36544_pIC50	80	20	166	0.82418
P36544_pKi	292	73	166	0.90451
P36888_pIC50	748	187	166	0.89207
P36888_pKd	102	26	166	0.83333
P37058_pIC50	159	40	166	1
P37231_pEC50	1824	457	166	0.8758
P37231_pIC50	775	194	166	0.83274
P37231_pKi	208	53	166	0.71786
P37268_pIC50	144	36	166	0.75833
P37288_pEC50	84	22	166	1
P37288_pIC50	183	46	166	0.59375
P37288_pKi	534	134	166	0.94053
P39086_pKi	81	21	166	0.68519
P39748_pIC50	71	18	166	0.95
P39900_pIC50	280	71	166	0.87666
P39900_pKi	80	21	166	1
P40238_pEC50	192	49	166	0.76231
P40763_pIC50	206	52	166	0.93233
P41143_pEC50	484	122	166	0.92227
P41143_pIC50	614	154	166	0.92875
P41143_pKi	1878	470	166	0.88225
P41145_pEC50	676	169	166	0.9082
P41145_pIC50	730	183	166	0.84866
P41145_pKi	1813	454	166	0.86736
P41146_pIC50	344	87	166	0.92168
P41146_pKi	764	191	166	0.83627
P41229_pIC50	59	15	166	0.96
P41231_pEC50	157	40	166	0.70175
P41279_pIC50	179	45	166	0.82452
P41594_pEC50	390	98	166	0.809
P41594_pIC50	855	214	166	0.76398
P41594_pKi	206	52	166	0.87273
P41595_pEC50	222	56	166	0.66768
P41595_pIC50	110	28	166	0.85985
P41595_pKi	725	182	166	0.84297
P41597_pIC50	1066	267	166	0.82185
P41597_pKi	100	25	166	0.78571
P41968_pEC50	251	63	166	0.74667
P41968_pIC50	152	38	166	0.64375
P41968_pKi	422	106	166	0.93836
P42262_pEC50	111	28	166	0.67251
P42330_pIC50	322	81	166	0.7938
P42336_pIC50	2285	572	166	0.88661
P42336_pKi	391	98	166	0.93472
P42338_pIC50	746	187	166	0.94566
P42338_pKi	91	23	166	0.73889
P42345_pIC50	1405	352	166	0.87712
P42574_pEC50	56	15	166	0.73214
P42574_pIC50	1211	303	166	0.97026
P42574_pKi	108	28	166	0.84211
P42785_pIC50	262	66	166	0.92562
P42858_pIC50	210	53	166	0.57453
P42892_pIC50	219	55	166	0.91106
P43004_pIC50	75	19	166	0.98718
P43088_pIC50	51	13	166	0.82143
P43115_pKi	218	55	166	0.79267
P43116_pKi	165	42	166	0.93594
P43119_pIC50	93	24	166	0.92593
P43119_pKi	125	32	166	0.78175
P43166_pKd	76	19	166	0.71591
P43166_pKi	440	111	166	0.95411
P43220_pEC50	259	65	166	0.77091
P43220_pIC50	116	30	166	0.98864
P43235_pIC50	841	211	166	0.91102
P43235_pKi	380	95	166	0.90762
P43403_pIC50	180	45	166	0.94345
P43405_pIC50	481	121	166	0.89067
P43490_pIC50	323	81	166	0.90282
P43681_pEC50	324	82	166	0.89062
P43681_pIC50	257	65	166	0.97822
P43681_pKi	399	100	166	0.95933
P45452_pIC50	1626	407	166	0.92899
P45452_pKi	195	49	166	0.84592
P45983_pIC50	871	218	166	0.89545
P45984_pIC50	378	95	166	0.79797
P46098_pIC50	197	50	166	0.86715
P46098_pKi	312	79	166	0.89704
P46663_pIC50	288	72	166	0.89254
P46663_pKi	409	103	166	0.84397
P47712_pIC50	208	52	166	0.95682
P47869_pEC50	58	15	166	0.92857
P47869_pKi	398	100	166	0.837
P47871_pIC50	581	146	166	0.88866
P47871_pKi	73	19	166	0.8
P47898_pKi	120	31	166	0.59664
P47900_pIC50	116	29	166	0.93452
P47900_pKi	236	59	166	0.72518
P47901_pKi	120	30	166	0.76455
P47989_pIC50	162	41	166	0.92328
P48039_pIC50	164	42	166	0.81434
P48039_pKi	544	137	166	0.87255
P48058_pEC50	66	17	166	0.73611
P48067_pEC50	203	51	166	0.55888
P48067_pIC50	297	75	166	0.81085
P48145_pIC50	238	60	166	0.8825
P48147_pIC50	212	53	166	0.825
P48449_pIC50	98	25	166	0.7619
P48729_pIC50	48	12	166	0.94286
P48730_pIC50	84	22	166	0.80342
P48736_pIC50	980	245	166	0.88882
P48736_pKi	120	30	166	0.88194
P49137_pEC50	85	22	166	0.95833
P49137_pIC50	521	131	166	0.92679
P49146_pEC50	73	19	166	1
P49146_pIC50	226	57	166	0.92105
P49146_pKi	142	36	166	0.93846
P49286_pKi	497	125	166	0.96504
P49327_pIC50	87	22	166	0.86161
P49354_pIC50	935	234	166	0.84748
P49356_pIC50	514	129	166	0.8664
P49682_pIC50	487	122	166	0.67941
P49682_pKi	208	53	166	0.85256
P49721_pIC50	54	14	166	0.82653
P49759_pIC50	194	49	166	0.7265
P49760_pIC50	76	20	166	0.88
P49768_pEC50	96	24	166	1
P49768_pIC50	351	88	166	0.89325
P49840_pIC50	205	52	166	0.87778
P49841_pEC50	525	132	166	0.78006
P49841_pIC50	1231	308	166	0.79894
P49841_pKi	181	46	166	0.85195
P50053_pIC50	81	21	166	0.68125
P50281_pIC50	413	104	166	0.86562
P50281_pKi	117	30	166	0.88444
P50406_pIC50	548	138	166	0.76426
P50406_pKi	1725	432	166	0.87626
P50579_pIC50	322	81	166	0.96071
P50613_pIC50	47	12	166	0.88571
P51449_pEC50	98	25	166	0.69333
P51449_pIC50	484	122	166	0.89519
P51452_pIC50	390	98	166	0.83092
P51582_pEC50	70	18	166	0.625
P51677_pIC50	579	145	166	0.92147
P51677_pKi	270	68	166	0.9625
P51679_pIC50	212	54	166	0.8594
P51679_pKi	50	13	166	0.80952
P51681_pIC50	1442	361	166	0.95013
P51812_pIC50	191	48	166	0.79286
P51813_pIC50	51	13	166	0.9
P51946_pIC50	77	20	166	0.94792
P51946_pKi	52	14	166	0.71111
P51955_pIC50	92	23	166	0.64286
P52333_pIC50	1118	280	166	0.8656
P52732_pIC50	561	141	166	0.833
P52732_pKi	112	28	166	0.78655
P52895_pIC50	154	39	166	0.91295
P53350_pIC50	473	119	166	0.90816
P53350_pKi	55	14	166	0.91111
P53582_pEC50	53	14	166	0.59184
P53609_pIC50	65	17	166	0.93939
P53667_pIC50	114	29	166	0.98701
P53779_pIC50	696	174	166	0.94664
P54760_pIC50	228	58	166	0.75372
P55055_pEC50	709	178	166	0.95871
P55055_pIC50	508	128	166	0.95935
P55072_pIC50	154	39	166	0.90107
P55085_pEC50	46	12	166	0.7
P55210_pIC50	304	76	166	0.90741
P55211_pIC50	332	83	166	0.85498
P55212_pIC50	104	26	166	0.94643
P55263_pIC50	303	76	166	0.87768
P55899_pIC50	137	35	166	0.98611
P56524_pIC50	232	58	166	0.925
P56703_pEC50	44	12	166	0.77778
P56817_pEC50	212	53	166	0.83516
P56817_pIC50	2522	631	166	0.90291
P56817_pKi	422	106	166	0.92504
P60953_pKi	82	21	166	0.69907
P61073_pIC50	259	65	166	0.91228
P62937_pIC50	124	31	166	0.94048
P62937_pKd	147	37	166	1
P62942_pIC50	139	35	166	0.90306
P62942_pKi	250	63	166	0.9301
P62993_pIC50	199	50	166	0.9424
P62993_pKd	44	12	166	0.77778
P63279_pIC50	261	66	166	0.46111
P68400_pIC50	100	26	166	0.97576
P68400_pKi	61	16	166	0.98182
P78536_pIC50	1335	334	166	0.98278
P78536_pKi	288	72	166	0.79121
