N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5
P00797_pKi	88	23	166	0.88462
P00915_pIC50	148	37	166	0.89327
P00915_pKd	84	22	166	0.55
P00915_pKi	3165	792	166	0.84887
P00918_pIC50	401	101	166	0.89854
P00918_pKd	217	55	166	0.84091
P00918_pKi	3295	824	166	0.83606
P01375_pIC50	671	168	166	0.77195
P03372_pEC50	535	134	166	0.77463
P03372_pIC50	1368	343	166	0.9013
P03372_pKi	242	61	166	0.77807
P03951_pIC50	187	47	166	0.71771
P03951_pKi	139	35	166	0.84659
P03952_pKi	128	32	166	0.82937
P03956_pIC50	1521	381	166	0.82156
P03956_pKi	517	130	166	0.87548
P04035_pIC50	172	44	166	0.88542
P04054_pIC50	388	97	166	0.96201
P04062_pIC50	264	67	166	0.74189
P04062_pKi	141	36	166	0.73125
P04066_pIC50	54	14	166	0.78571
P04150_pEC50	436	110	166	0.74861
P04150_pIC50	1076	270	166	0.70224
P04150_pKi	584	147	166	0.71061
P04278_pKd	72	19	166	0.83974
P04626_pIC50	1289	323	166	0.84691
P04629_pIC50	225	57	166	0.56809
P04798_pIC50	104	26	166	0.67576
P04818_pIC50	220	56	166	0.65104
P04818_pKi	181	46	166	0.78462
P05067_pIC50	186	47	166	0.84636
P05093_pIC50	314	79	166	0.54662
P05106_pIC50	922	231	166	0.74005
P05106_pKi	152	39	166	0.71429
P05121_pIC50	188	48	166	0.77879
P05129_pIC50	120	30	166	0.90191
P05164_pIC50	121	31	166	0.73232
P05186_pIC50	334	84	166	0.73713
P05230_pKd	92	23	166	0.76339
P05412_pIC50	131	33	166	0.88333
P05771_pIC50	248	62	166	0.58016
P06213_pIC50	465	117	166	0.74567
P06239_pIC50	1108	278	166	0.7589
P06239_pKd	101	26	166	0.77619
P06241_pIC50	104	27	166	0.85165
P06401_pEC50	359	90	166	0.56875
P06401_pIC50	1022	256	166	0.66721
P06401_pKi	388	98	166	0.64482
P06493_pIC50	1294	324	166	0.80777
P06493_pKi	108	28	166	0.6
P06870_pKi	69	18	166	0.775
P07099_pIC50	135	34	166	0.76667
P07333_pIC50	476	120	166	0.59091
P07339_pIC50	807	202	166	0.73502
P07339_pKi	208	52	166	0.72917
P07384_pIC50	292	73	166	0.90546
P07384_pKi	184	46	166	0.83333
P07477_pIC50	316	80	166	0.84217
P07477_pKi	1094	274	166	0.86631
P07550_pEC50	532	134	166	0.72789
P07550_pIC50	376	95	166	0.7223
P07550_pKd	78	20	166	0.81868
P07550_pKi	339	85	166	0.76597
P07711_pIC50	580	145	166	0.7013
P07711_pKi	380	96	166	0.83566
P07858_pIC50	480	120	166	0.87347
P07858_pKi	342	86	166	0.83562
P07900_pIC50	560	140	166	0.86678
P07900_pKd	95	24	166	0.96667
P07948_pIC50	170	43	166	0.6798
P07949_pIC50	337	85	166	0.76364
P08069_pIC50	933	234	166	0.76435
P08069_pKi	44	11	166	0.73333
P08172_pEC50	71	18	166	0.62338
P08172_pIC50	304	76	166	0.80892
P08172_pKi	700	175	166	0.77143
P08173_pEC50	144	36	166	0.68182
P08173_pIC50	112	29	166	0.50735
P08173_pKi	264	66	166	0.78493
P08183_pEC50	256	64	166	0.76511
P08183_pIC50	444	112	166	0.68605
P08183_pKi	141	36	166	0.48276
P08235_pIC50	455	114	166	0.57917
P08235_pKi	82	21	166	0.75909
P08238_pEC50	127	32	166	0.70833
P08238_pIC50	376	94	166	0.81955
P08246_pIC50	540	136	166	0.77138
P08246_pKi	745	187	166	0.77833
P08253_pIC50	2002	501	166	0.84844
P08253_pKi	578	145	166	0.72545
P08254_pIC50	992	248	166	0.77961
P08254_pKi	496	124	166	0.74193
P08311_pIC50	185	47	166	0.73416
P08473_pIC50	234	59	166	0.66591
P08514_pIC50	1299	325	166	0.78355
P08514_pKi	124	32	166	0.8451
P08575_pIC50	176	45	166	0.66667
P08581_pIC50	1694	424	166	0.71734
P08581_pKi	173	44	166	0.71429
P08588_pEC50	412	103	166	0.69248
P08588_pIC50	397	100	166	0.83636
P08588_pKd	60	16	166	0.78333
P08588_pKi	231	58	166	0.7472
P08631_pIC50	104	27	166	0.68929
P08648_pIC50	186	47	166	0.81771
P08684_pIC50	2123	531	166	0.73142
P08684_pKi	107	27	166	0.85714
P08709_pIC50	277	70	166	0.665
P08709_pKi	338	85	166	0.65533
P08842_pIC50	329	83	166	0.78879
P08908_pEC50	503	126	166	0.90988
P08908_pIC50	371	93	166	0.77593
P08908_pKi	2214	554	166	0.65305
P08912_pEC50	86	22	166	0.71875
P08912_pIC50	124	31	166	0.70833
P08912_pKi	232	58	166	0.84424
P08913_pIC50	93	24	166	0.55556
P08913_pKi	500	125	166	0.69375
P09038_pKd	94	24	166	0.81111
P09211_pIC50	84	21	166	0.92857
P09237_pIC50	275	69	166	0.84291
P09237_pKi	96	25	166	0.55702
P09467_pIC50	308	77	166	0.87588
P09488_pEC50	179	45	166	0.48718
P09619_pIC50	1100	276	166	0.77938
P09871_pKi	83	21	166	0.86111
P09874_pEC50	193	49	166	0.78718
P09874_pIC50	978	245	166	0.71696
P09917_pEC50	55	14	166	0.78571
P09917_pIC50	1333	334	166	0.77846
P09958_pKi	173	44	166	0.81197
P09960_pIC50	380	96	166	0.77764
P0DMS8_pIC50	265	67	166	0.76905
P0DMS8_pKi	2360	590	166	0.75077
P10275_pEC50	336	84	166	0.79324
P10275_pIC50	990	248	166	0.81989
P10275_pKi	617	155	166	0.79214
P10276_pEC50	52	14	166	0.37778
P10323_pIC50	148	37	166	1
P10415_pEC50	128	32	166	0.83714
P10415_pIC50	260	66	166	0.70784
P10415_pKi	273	69	166	0.91026
P10632_pIC50	126	32	166	0.66667
P10635_pIC50	1391	348	166	0.6907
P10721_pIC50	549	138	166	0.63323
P10721_pKi	43	11	166	0.8
P10826_pKi	49	13	166	0.85714
P10827_pIC50	171	43	166	0.76889
P10828_pIC50	265	67	166	0.80857
P11086_pKi	137	35	166	0.64744
P11137_pIC50	78	20	166	0.72222
P11229_pEC50	315	79	166	0.79034
P11229_pIC50	404	101	166	0.67493
P11229_pKi	550	138	166	0.77137
P11309_pIC50	840	211	166	0.79698
P11309_pKi	348	88	166	0.74359
P11362_pIC50	751	188	166	0.75245
P11387_pEC50	101	26	166	0.62857
P11387_pIC50	229	58	166	0.74534
P11473_pIC50	216	55	166	0.97826
P11474_pIC50	100	26	166	0.55833
P11511_pIC50	1276	319	166	0.74303
P11511_pKi	352	88	166	0.75294
P11597_pIC50	689	173	166	0.79464
P11712_pIC50	1185	297	166	0.64957
P11802_pIC50	976	245	166	0.85591
P11802_pKi	66	17	166	0.82857
P12268_pIC50	368	93	166	0.66731
P12268_pKi	62	16	166	0.56364
P12821_pIC50	464	117	166	0.90513
P12931_pIC50	1958	490	166	0.80682
P12931_pKi	227	57	166	0.78205
P13497_pIC50	270	68	166	0.86889
P13569_pEC50	114	29	166	0.64394
P13569_pIC50	85	22	166	0.92857
P13612_pIC50	1062	266	166	0.66736
P13631_pKi	46	12	166	0.75
P13726_pIC50	68	18	166	0.94444
P13866_pIC50	248	62	166	0.82906
P13945_pEC50	909	228	166	0.67837
P13945_pKi	218	55	166	0.70448
P14061_pIC50	330	83	166	0.71628
P14174_pIC50	155	39	166	0.65152
P14222_pIC50	150	38	166	0.6875
P14324_pIC50	216	55	166	0.69398
P14324_pKi	68	18	166	0.66154
P14416_pEC50	232	58	166	0.74038
P14416_pIC50	326	82	166	0.73392
P14416_pKi	3849	963	166	0.74292
P14555_pIC50	340	86	166	0.79542
P14618_pEC50	54	14	166	0.64583
P14780_pIC50	1324	331	166	0.78109
P14780_pKi	535	134	166	0.79123
P14867_pEC50	100	26	166	0.84722
P14867_pKi	474	119	166	0.6803
P14902_pIC50	459	115	166	0.7875
P14902_pKi	95	24	166	0.95833
P14920_pIC50	151	38	166	0.75321
P15056_pIC50	563	141	166	0.74172
P15056_pKd	74	19	166	0.89444
P15090_pIC50	101	26	166	0.71895
P15121_pIC50	551	138	166	0.76087
P15144_pIC50	189	48	166	0.82056
P15144_pKi	107	27	166	0.65294
P15428_pIC50	165	42	166	0.45714
P15538_pIC50	554	139	166	0.71411
P16050_pIC50	161	41	166	0.85641
P16083_pIC50	196	50	166	0.9
P16109_pIC50	185	47	166	0.71429
P16234_pIC50	261	66	166	0.5625
P16455_pIC50	52	13	166	0.92857
P16581_pIC50	227	57	166	0.98571
P17252_pIC50	380	96	166	0.7716
P17252_pKi	349	88	166	0.77543
P17612_pIC50	140	36	166	0.91455
P17706_pIC50	357	90	166	0.88401
P17706_pKi	91	23	166	0.65179
P17752_pIC50	152	39	166	0.56818
P17861_pIC50	751	188	166	0.53934
P17948_pIC50	597	150	166	0.81481
P18031_pIC50	1776	445	166	0.82113
P18031_pKi	408	103	166	0.80984
P18054_pIC50	115	29	166	0.62368
P18084_pIC50	210	53	166	0.80321
P18089_pKi	276	70	166	0.7278
P18405_pIC50	222	56	166	0.71429
P18405_pKi	105	27	166	0.75
P18564_pIC50	100	26	166	0.44643
P18825_pKi	377	95	166	0.76421
P19099_pIC50	586	147	166	0.58723
P19320_pIC50	78	20	166	1
P19438_pIC50	88	23	166	0.91667
P19634_pIC50	217	55	166	0.84848
P19793_pEC50	225	57	166	0.59762
P19793_pIC50	113	29	166	0.82368
P20292_pIC50	372	94	166	0.55669
P20309_pEC50	60	16	166	0.6
P20309_pIC50	424	106	166	0.78148
P20309_pKd	84	22	166	0.70833
P20309_pKi	635	159	166	0.87765
P20393_pEC50	55	14	166	0.70833
P20618_pIC50	55	14	166	0.85417
P20648_pIC50	196	50	166	0.79861
P20701_pIC50	408	102	166	0.81333
P20839_pIC50	48	12	166	0.71429
P20839_pKi	66	17	166	0.70833
P21397_pIC50	860	216	166	0.78774
P21397_pKi	324	82	166	0.7991
P21452_pKi	390	98	166	0.83442
P21453_pEC50	1337	335	166	0.91829
P21462_pIC50	180	46	166	0.75844
P21554_pEC50	448	112	166	0.75292
P21554_pIC50	781	196	166	0.75343
P21554_pKi	1732	433	166	0.73817
P21728_pKi	566	142	166	0.73848
P21730_pIC50	200	51	166	0.81818
P21731_pIC50	371	93	166	0.78427
P21731_pKd	132	34	166	0.79762
P21731_pKi	264	67	166	0.77814
P21918_pKi	191	48	166	0.77222
P21980_pIC50	235	59	166	0.68353
P22001_pIC50	357	90	166	0.72154
P22303_pIC50	2314	579	166	0.87442
P22303_pKi	256	65	166	0.77657
P22460_pIC50	443	111	166	0.73994
P22748_pKi	455	114	166	0.84541
P22894_pIC50	448	113	166	0.82313
P22894_pKi	360	90	166	0.84127
P23141_pIC50	101	26	166	0.80357
P23141_pKi	145	37	166	0.78216
P23219_pIC50	1121	281	166	0.61165
P23280_pKi	219	55	166	0.75
P23443_pIC50	530	133	166	0.71448
P23458_pEC50	108	27	166	0.55952
P23458_pIC50	516	130	166	0.57903
P23458_pKi	174	44	166	0.79386
P23526_pIC50	55	14	166	0.70833
P23526_pKi	72	19	166	0.64881
P23946_pIC50	271	68	166	0.67292
P23975_pEC50	43	11	166	0.9
P23975_pIC50	1084	271	166	0.65457
P23975_pKi	985	247	166	0.78354
P24530_pIC50	696	175	166	0.82007
P24530_pKi	132	33	166	0.9
P24557_pIC50	656	164	166	0.70397
P24941_pIC50	2348	588	166	0.75182
P24941_pKi	173	44	166	0.69851
P25021_pIC50	44	11	166	0.73333
P25021_pKi	203	51	166	0.87826
P25024_pIC50	112	29	166	0.75952
P25025_pIC50	340	85	166	0.69048
P25025_pKi	192	48	166	0.78125
P25090_pEC50	68	17	166	0.68571
P25100_pKi	660	165	166	0.72407
P25101_pIC50	894	224	166	0.72204
P25101_pKi	180	46	166	0.66341
P25103_pIC50	1304	327	166	0.57686
P25103_pKi	541	136	166	0.62097
P25105_pIC50	312	79	166	0.84176
P25116_pIC50	469	118	166	0.73174
P25440_pIC50	101	26	166	0.83333
P25774_pIC50	963	241	166	0.66972
P25774_pKi	348	88	166	0.77221
P25929_pIC50	290	73	166	0.9046
P25929_pKi	380	95	166	0.65258
P26010_pIC50	320	80	166	0.80628
P27338_pIC50	1244	312	166	0.78803
P27338_pKi	236	60	166	0.70041
P27487_pIC50	2362	591	166	0.80297
P27487_pKi	388	98	166	0.71252
P27815_pIC50	393	99	166	0.74971
P27815_pKi	71	18	166	0.88312
P27986_pIC50	391	98	166	0.64286
P28074_pIC50	242	61	166	0.69056
P28074_pKi	63	16	166	0.625
P28221_pKi	596	149	166	0.72863
P28222_pKi	528	132	166	0.70438
P28335_pEC50	452	114	166	0.56424
P28335_pIC50	496	124	166	0.63131
P28335_pKi	1224	307	166	0.67462
P28336_pKi	59	15	166	0.77778
P28482_pIC50	277	70	166	0.76812
P28482_pKi	299	75	166	0.67055
P28715_pIC50	47	12	166	0.72857
P28845_pIC50	1808	452	166	0.68597
P28845_pKi	230	58	166	0.7563
P28907_pIC50	68	18	166	0.91667
P29274_pEC50	104	26	166	0.81667
P29274_pIC50	160	40	166	0.71326
P29274_pKi	2804	701	166	0.78219
P29275_pEC50	114	29	166	0.55833
P29275_pIC50	304	76	166	0.7149
P29275_pKi	1134	284	166	0.84529
P29317_pIC50	63	16	166	0.74603
P29371_pIC50	188	48	166	0.71053
P29371_pKi	339	85	166	0.74265
P29375_pIC50	305	77	166	0.9586
P29401_pEC50	42	11	166	0.75
P29466_pIC50	363	91	166	0.89965
P29466_pKi	260	66	166	0.78056
P29597_pIC50	312	79	166	0.64873
P30291_pIC50	228	58	166	0.66054
P30305_pIC50	386	97	166	0.71504
P30411_pKi	141	36	166	0.66667
P30419_pIC50	92	23	166	0.68462
P30518_pEC50	108	27	166	0.72368
P30518_pKi	222	56	166	0.76667
P30530_pIC50	199	50	166	0.79048
P30542_pEC50	114	29	166	0.97222
P30542_pIC50	159	40	166	0.64062
P30542_pKi	2384	597	166	0.77714
P30556_pIC50	624	157	166	0.94072
P30559_pEC50	120	31	166	0.63095
P30559_pKi	436	109	166	0.66627
P30872_pKi	134	34	166	0.72348
P30874_pKi	236	60	166	0.76667
P30939_pKi	118	30	166	0.90909
P30968_pIC50	564	141	166	0.74237
P30968_pKi	533	134	166	0.71967
P30989_pEC50	218	55	166	0.99
P30989_pKi	72	18	166	0.5875
P31213_pIC50	225	57	166	0.73039
P31391_pKi	142	36	166	0.74375
P31639_pEC50	104	27	166	0.81593
P31639_pIC50	624	156	166	0.73455
P31644_pKi	483	121	166	0.65362
P31645_pIC50	1572	393	166	0.68957
P31645_pKi	1400	351	166	0.78369
P31749_pIC50	1152	289	166	0.82028
P31751_pIC50	371	93	166	0.60205
P32238_pIC50	260	65	166	0.9089
P32238_pKi	73	19	166	0.62778
P32239_pIC50	715	179	166	0.83735
P32239_pKi	240	61	166	0.76739
P32245_pEC50	740	186	166	0.62783
P32245_pIC50	557	140	166	0.59882
P32245_pKi	1197	300	166	0.85907
P32246_pIC50	448	112	166	0.65633
P32246_pKi	87	22	166	0.625
P32247_pEC50	210	53	166	0.89164
P32297_pEC50	66	17	166	0.75833
P32297_pIC50	51	13	166	1
P32745_pKi	180	45	166	0.625
P33032_pEC50	157	40	166	0.67521
P33032_pKi	317	80	166	0.80643
P33261_pIC50	594	149	166	0.53767
P33527_pIC50	213	54	166	0.72294
P33981_pIC50	182	46	166	0.725
P34903_pKi	485	122	166	0.61111
P34913_pIC50	1266	317	166	0.72437
P34947_pIC50	62	16	166	0.60909
P34969_pIC50	174	44	166	0.75588
P34969_pKi	897	225	166	0.65345
P34972_pEC50	918	230	166	0.74432
P34972_pIC50	561	141	166	0.81013
P34972_pKi	2110	528	166	0.75134
P34995_pKi	137	35	166	0.82343
P34998_pKi	1024	257	166	0.63926
P35218_pKi	244	62	166	0.89082
P35236_pIC50	364	91	166	0.60065
P35346_pKi	232	58	166	0.79015
P35348_pEC50	174	44	166	0.65351
P35348_pIC50	148	38	166	0.58046
P35348_pKi	888	222	166	0.75365
P35354_pIC50	2278	570	166	0.79028
P35367_pIC50	177	45	166	0.63889
P35367_pKi	833	209	166	0.84023
P35368_pIC50	59	15	166	0.58333
P35368_pKi	758	190	166	0.68509
P35372_pEC50	456	115	166	0.81504
P35372_pIC50	651	163	166	0.8324
P35372_pKi	1960	490	166	0.73913
P35408_pIC50	121	31	166	0.83333
P35408_pKi	302	76	166	0.9
P35462_pIC50	132	33	166	0.5
P35462_pKi	2507	627	166	0.72697
P35498_pIC50	122	31	166	0.5
P35499_pIC50	100	26	166	0.29762
P35610_pIC50	258	65	166	0.8153
P35869_pEC50	154	39	166	0.81944
P35916_pIC50	188	48	166	0.81944
P35968_pIC50	3434	859	166	0.69129
P35968_pKi	154	39	166	0.80769
P36544_pEC50	268	68	166	0.81786
P36544_pIC50	80	20	166	0.78022
P36544_pKi	292	73	166	0.83421
P36888_pIC50	748	187	166	0.74784
P36888_pKd	102	26	166	0.71569
P37058_pIC50	159	40	166	0.98387
P37231_pEC50	1824	457	166	0.80407
P37231_pIC50	775	194	166	0.75545
P37231_pKi	208	53	166	0.655
P37268_pIC50	144	36	166	0.48333
P37288_pEC50	84	22	166	1
P37288_pIC50	183	46	166	0.45
P37288_pKi	534	134	166	0.8953
P39086_pKi	81	21	166	0.54167
P39748_pIC50	71	18	166	0.875
P39900_pIC50	280	71	166	0.74626
P39900_pKi	80	21	166	0.83333
P40238_pEC50	192	49	166	0.6411
P40763_pIC50	206	52	166	0.80451
P41143_pEC50	484	122	166	0.7892
P41143_pIC50	614	154	166	0.83628
P41143_pKi	1878	470	166	0.75556
P41145_pEC50	676	169	166	0.79289
P41145_pIC50	730	183	166	0.78143
P41145_pKi	1813	454	166	0.70321
P41146_pIC50	344	87	166	0.73734
P41146_pKi	764	191	166	0.64193
P41229_pIC50	59	15	166	0.85
P41231_pEC50	157	40	166	0.66541
P41279_pIC50	179	45	166	0.70673
P41594_pEC50	390	98	166	0.73555
P41594_pIC50	855	214	166	0.67085
P41594_pKi	206	52	166	0.75758
P41595_pEC50	222	56	166	0.53434
P41595_pIC50	110	28	166	0.56061
P41595_pKi	725	182	166	0.78968
P41597_pIC50	1066	267	166	0.67197
P41597_pKi	100	25	166	0.64683
P41968_pEC50	251	63	166	0.64024
P41968_pIC50	152	38	166	0.55833
P41968_pKi	422	106	166	0.85969
P42262_pEC50	111	28	166	0.69883
P42330_pIC50	322	81	166	0.67352
P42336_pIC50	2285	572	166	0.71466
P42336_pKi	391	98	166	0.72778
P42338_pIC50	746	187	166	0.87201
P42338_pKi	91	23	166	0.6
P42345_pIC50	1405	352	166	0.7058
P42574_pEC50	56	15	166	0.58929
P42574_pIC50	1211	303	166	0.9271
P42574_pKi	108	28	166	0.70175
P42785_pIC50	262	66	166	0.74545
P42858_pIC50	210	53	166	0.5
P42892_pIC50	219	55	166	0.88061
P43004_pIC50	75	19	166	0.87821
P43088_pIC50	51	13	166	0.69048
P43115_pKi	218	55	166	0.75333
P43116_pKi	165	42	166	0.68438
P43119_pIC50	93	24	166	0.8
P43119_pKi	125	32	166	0.66667
P43166_pKd	76	19	166	0.72159
P43166_pKi	440	111	166	0.91408
P43220_pEC50	259	65	166	0.75455
P43220_pIC50	116	30	166	0.85227
P43235_pIC50	841	211	166	0.75031
P43235_pKi	380	95	166	0.85357
P43403_pIC50	180	45	166	0.82143
P43405_pIC50	481	121	166	0.76894
P43490_pIC50	323	81	166	0.69296
P43681_pEC50	324	82	166	0.78493
P43681_pIC50	257	65	166	0.90862
P43681_pKi	399	100	166	0.946
P45452_pIC50	1626	407	166	0.78638
P45452_pKi	195	49	166	0.77857
P45983_pIC50	871	218	166	0.76719
P45984_pIC50	378	95	166	0.67537
P46098_pIC50	197	50	166	0.73994
P46098_pKi	312	79	166	0.81222
P46663_pIC50	288	72	166	0.67761
P46663_pKi	409	103	166	0.59515
P47712_pIC50	208	52	166	0.86515
P47869_pEC50	58	15	166	0.85714
P47869_pKi	398	100	166	0.55006
P47871_pIC50	581	146	166	0.71277
P47871_pKi	73	19	166	0.78889
P47898_pKi	120	31	166	0.53782
P47900_pIC50	116	29	166	0.88988
P47900_pKi	236	59	166	0.56117
P47901_pKi	120	30	166	0.71429
P47989_pIC50	162	41	166	0.87169
P48039_pIC50	164	42	166	0.5625
P48039_pKi	544	137	166	0.64986
P48058_pEC50	66	17	166	0.70833
P48067_pEC50	203	51	166	0.48552
P48067_pIC50	297	75	166	0.7209
P48145_pIC50	238	60	166	0.725
P48147_pIC50	212	53	166	0.79286
P48449_pIC50	98	25	166	0.71429
P48729_pIC50	48	12	166	0.85714
P48730_pIC50	84	22	166	0.77778
P48736_pIC50	980	245	166	0.77457
P48736_pKi	120	30	166	0.70833
P49137_pEC50	85	22	166	0.83333
P49137_pIC50	521	131	166	0.86123
P49146_pEC50	73	19	166	1
P49146_pIC50	226	57	166	0.88158
P49146_pKi	142	36	166	0.7
P49286_pKi	497	125	166	0.76916
P49327_pIC50	87	22	166	0.875
P49354_pIC50	935	234	166	0.70691
P49356_pIC50	514	129	166	0.73569
P49682_pIC50	487	122	166	0.63039
P49682_pKi	208	53	166	0.82977
P49721_pIC50	54	14	166	0.78571
P49759_pIC50	194	49	166	0.6859
P49760_pIC50	76	20	166	0.7
P49768_pEC50	96	24	166	0.95833
P49768_pIC50	351	88	166	0.80303
P49840_pIC50	205	52	166	0.69206
P49841_pEC50	525	132	166	0.66667
P49841_pIC50	1231	308	166	0.68636
P49841_pKi	181	46	166	0.77792
P50053_pIC50	81	21	166	0.6375
P50281_pIC50	413	104	166	0.79339
P50281_pKi	117	30	166	0.66667
P50406_pIC50	548	138	166	0.6548
P50406_pKi	1725	432	166	0.72037
P50579_pIC50	322	81	166	0.84762
P50613_pIC50	47	12	166	0.8
P51449_pEC50	98	25	166	0.68333
P51449_pIC50	484	122	166	0.82494
P51452_pIC50	390	98	166	0.6759
P51582_pEC50	70	18	166	0.625
P51677_pIC50	579	145	166	0.80511
P51677_pKi	270	68	166	0.89375
P51679_pIC50	212	54	166	0.7963
P51679_pKi	50	13	166	0.67857
P51681_pIC50	1442	361	166	0.81395
P51812_pIC50	191	48	166	0.76429
P51813_pIC50	51	13	166	0.775
P51946_pIC50	77	20	166	0.83333
P51946_pKi	52	14	166	0.8
P51955_pIC50	92	23	166	0.67063
P52333_pIC50	1118	280	166	0.70635
P52732_pIC50	561	141	166	0.74798
P52732_pKi	112	28	166	0.70175
P52895_pIC50	154	39	166	0.79464
P53350_pIC50	473	119	166	0.83442
P53350_pKi	55	14	166	0.9
P53582_pEC50	53	14	166	0.57143
P53609_pIC50	65	17	166	0.86364
P53667_pIC50	114	29	166	0.78571
P53779_pIC50	696	174	166	0.87773
P54760_pIC50	228	58	166	0.64732
P55055_pEC50	709	178	166	0.88736
P55055_pIC50	508	128	166	0.9192
P55072_pIC50	154	39	166	0.78476
P55085_pEC50	46	12	166	0.65714
P55210_pIC50	304	76	166	0.82576
P55211_pIC50	332	83	166	0.75
P55212_pIC50	104	26	166	0.8869
P55263_pIC50	303	76	166	0.88036
P55899_pIC50	137	35	166	0.91898
P56524_pIC50	232	58	166	0.86053
P56703_pEC50	44	12	166	0.83333
P56817_pEC50	212	53	166	0.67582
P56817_pIC50	2522	631	166	0.81022
P56817_pKi	422	106	166	0.80515
P60953_pKi	82	21	166	0.73611
P61073_pIC50	259	65	166	0.74123
P62937_pIC50	124	31	166	0.90238
P62937_pKd	147	37	166	1
P62942_pIC50	139	35	166	0.83929
P62942_pKi	250	63	166	0.85357
P62993_pIC50	199	50	166	0.82
P62993_pKd	44	12	166	0.75
P63279_pIC50	261	66	166	0.49167
P68400_pIC50	100	26	166	0.78485
P68400_pKi	61	16	166	0.95455
P78536_pIC50	1335	334	166	0.93909
P78536_pKi	288	72	166	0.61978
