fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P21554_pKi	0.750609	0.757354	0.729733	0.732789	0.766151	0.763198	0.738752	0.740438	0.743501	0.759824	0.732019	0.736111	0.751714	0.756254	0.737757	0.732364
P21918_pKi	0.801315	0.801553	0.7646	0.792175	0.752267	0.758653	0.712478	0.731287	0.778382	0.778382	0.743588	0.753648	0.770769	0.771456	0.740141	0.760152
P22748_pKi	0.750625	0.773295	0.760715	0.774319	0.748514	0.770816	0.745784	0.80009	0.761059	0.78225	0.730628	0.758542	0.743763	0.76283	0.722461	0.748604
P22894_pIC50	0.715378	0.692445	0.678083	0.712579	0.685727	0.709996	0.661067	0.706006	0.66406	0.686943	0.683504	0.689259	0.704511	0.714402	0.710645	0.721429
P23458_pEC50	0.547293	0.557499	0.601459	0.601459	0.512222	0.512222	0.499583	0.524097	0.540487	0.554862	0.628682	0.620486	0.5	0.524583	0.5	0.5
P23526_pIC50	0.552501	0.552501	0.559583	0.559583	0.492084	0.492084	0.541666	0.541666	0.624584	0.624584	0.606248	0.606248	0.614166	0.614166	0.591667	0.591667
P23975_pIC50	0.667173	0.673511	0.645478	0.656083	0.639996	0.661571	0.626658	0.656343	0.653874	0.652408	0.61512	0.635944	0.65838	0.659818	0.623943	0.634329
P25105_pIC50	0.773044	0.781786	0.78451	0.791032	0.784172	0.794869	0.758837	0.780376	0.807927	0.792143	0.790427	0.803541	0.774752	0.79079	0.78597	0.778893
P28335_pEC50	0.656164	0.654224	0.641511	0.636665	0.643424	0.637903	0.620113	0.625324	0.653864	0.646378	0.641654	0.641845	0.649937	0.629649	0.604983	0.624474
P28335_pIC50	0.71693	0.740787	0.726714	0.728073	0.744429	0.745643	0.707928	0.703928	0.728572	0.741571	0.7275	0.722714	0.739644	0.740357	0.699143	0.707645
P28845_pIC50	0.63082	0.632274	0.625082	0.625001	0.634254	0.626315	0.626763	0.617265	0.584925	0.589688	0.592445	0.603302	0.6074	0.616112	0.606193	0.623132
P29274_pEC50	0.836394	0.836394	0.846632	0.846632	0.832643	0.832643	0.843834	0.843834	0.867049	0.867049	0.791332	0.850905	0.791285	0.779488	0.784058	0.784058
P29274_pIC50	0.657138	0.657138	0.542777	0.542777	0.564833	0.622722	0.566777	0.566777	0.611415	0.612277	0.697471	0.697471	0.611415	0.613167	0.690195	0.690195
P30968_pKi	0.703626	0.699864	0.701943	0.72459	0.688136	0.696689	0.678363	0.69827	0.681166	0.680253	0.70145	0.708655	0.67852	0.670855	0.665167	0.667941
P31645_pIC50	0.684978	0.680075	0.658901	0.669215	0.666023	0.683478	0.635838	0.672108	0.67212	0.677147	0.658837	0.671986	0.6792	0.67865	0.676575	0.682373
P31751_pIC50	0.788349	0.780064	0.792096	0.785916	0.785482	0.787605	0.756451	0.791985	0.786002	0.752965	0.783783	0.778392	0.778346	0.783851	0.768998	0.768998
P32245_pEC50	0.658032	0.652543	0.642051	0.656278	0.655213	0.623034	0.631971	0.620505	0.586579	0.612932	0.567182	0.583002	0.646019	0.605753	0.589937	0.602922
P32245_pKi	0.818159	0.820801	0.81328	0.810743	0.824334	0.815278	0.808186	0.814059	0.807563	0.817691	0.80804	0.809219	0.804213	0.816333	0.801161	0.80857
P34903_pKi	0.633572	0.640417	0.638356	0.6379	0.639361	0.639361	0.646633	0.646633	0.584867	0.596453	0.584187	0.595968	0.552564	0.564359	0.52582	0.595297
P34998_pKi	0.620271	0.609055	0.598504	0.600036	0.53916	0.612621	0.528826	0.608231	0.601283	0.62339	0.626668	0.635011	0.609392	0.621116	0.607739	0.607439
P35869_pEC50	0.713113	0.719864	0.717002	0.714136	0.730908	0.734817	0.6965	0.725022	0.712091	0.721226	0.714113	0.701455	0.68918	0.732976	0.729069	0.735089
P35968_pKi	0.753205	0.745986	0.740271	0.74597	0.736552	0.747074	0.73834	0.700348	0.724135	0.734742	0.705039	0.670788	0.718137	0.718137	0.606613	0.601962
P39900_pIC50	0.850545	0.85276	0.852909	0.853727	0.855062	0.854712	0.846591	0.846591	0.828879	0.841545	0.823228	0.842802	0.744774	0.8185	0.81171	0.816908
P41146_pIC50	0.651236	0.653495	0.62973	0.626009	0.646921	0.606681	0.499355	0.499355	0.612527	0.602782	0.56582	0.591357	0.568228	0.572541	0.595524	0.605013
P41595_pIC50	0.63503	0.63503	0.613364	0.61521	0.558156	0.586993	0.549017	0.531964	0.618899	0.575686	0.526161	0.587768	0.528422	0.528422	0.530386	0.530386
P42336_pIC50	0.724472	0.721604	0.703972	0.704219	0.716599	0.71861	0.698486	0.713393	0.700382	0.708784	0.691009	0.699342	0.719295	0.710578	0.703926	0.70188
P43088_pIC50	0.835832	0.835832	0.789166	0.789166	0.835832	0.835832	0.794166	0.794166	0.762502	0.762502	0.800833	0.800833	0.644167	0.760832	0.682499	0.682499
P45983_pIC50	0.740002	0.738249	0.726107	0.745678	0.732842	0.742551	0.735743	0.74029	0.70137	0.723735	0.69814	0.721212	0.740445	0.743671	0.708177	0.722683
P47871_pIC50	0.686345	0.658986	0.668782	0.647558	0.66126	0.655306	0.673079	0.669909	0.666824	0.642129	0.655561	0.648175	0.654631	0.659251	0.653102	0.664463
P47989_pIC50	0.776084	0.776084	0.784334	0.784334	0.76861	0.76861	0.790944	0.790944	0.787249	0.787249	0.769972	0.789889	0.760722	0.771916	0.774999	0.751083
P49841_pKi	0.682174	0.682174	0.678904	0.678904	0.707654	0.678789	0.652808	0.630423	0.662771	0.669462	0.673347	0.664597	0.685807	0.666809	0.657346	0.653384
P50281_pIC50	0.758924	0.756916	0.750402	0.751686	0.742933	0.738781	0.751879	0.751879	0.735209	0.746366	0.706123	0.7273	0.741327	0.750785	0.690893	0.706076
P52895_pIC50	0.687403	0.68997	0.6917	0.792084	0.681892	0.701122	0.677724	0.722629	0.718717	0.716315	0.654583	0.707372	0.678462	0.689327	0.654583	0.718782
P55072_pIC50	0.832797	0.879583	0.80762	0.823037	0.825297	0.843809	0.818689	0.818689	0.85125	0.85125	0.793391	0.793391	0.813987	0.813987	0.796608	0.796608
Q02127_pIC50	0.805141	0.820824	0.792873	0.779672	0.807881	0.824816	0.733627	0.82495	0.799984	0.799449	0.795555	0.807363	0.832598	0.83244	0.794198	0.787939
Q04759_pIC50	0.533121	0.520277	0.560638	0.560638	0.558828	0.559759	0.566168	0.566168	0.512305	0.506105	0.619401	0.614104	0.597685	0.564707	0.671979	0.671979
Q12866_pIC50	0.699167	0.699167	0.7395	0.694722	0.7545	0.7545	0.735333	0.720165	0.627388	0.616111	0.606723	0.684945	0.64111	0.64111	0.686666	0.667388
Q12908_pIC50	0.691126	0.688257	0.681612	0.732115	0.654432	0.654432	0.629687	0.629687	0.631812	0.603087	0.618215	0.615174	0.685777	0.685777	0.662573	0.636721
Q13133_pIC50	0.896622	0.898993	0.898	0.905296	0.896045	0.898894	0.893372	0.898296	0.889484	0.894774	0.884145	0.885477	0.896	0.891977	0.902251	0.8954
Q13258_pIC50	0.721819	0.700833	0.706396	0.706396	0.733181	0.740483	0.661308	0.71606	0.716044	0.716044	0.721388	0.721388	0.683532	0.683532	0.7166	0.6963
Q13464_pIC50	0.75653	0.774048	0.768867	0.736857	0.725535	0.759626	0.729033	0.729033	0.741475	0.741475	0.731295	0.705177	0.728247	0.736437	0.756202	0.731839
Q13627_pIC50	0.755725	0.755725	0.767594	0.772332	0.743262	0.774622	0.749142	0.789003	0.755224	0.753466	0.717018	0.72679	0.7476	0.764769	0.733702	0.733702
Q13822_pIC50	0.788249	0.761499	0.728249	0.763833	0.635584	0.71325	0.741416	0.722168	0.7355	0.743251	0.742001	0.699584	0.699499	0.699499	0.675167	0.675167
Q14416_pEC50	0.669021	0.684566	0.679812	0.680078	0.672122	0.672404	0.632364	0.686058	0.678396	0.679695	0.686802	0.688556	0.662862	0.666276	0.65408	0.674861
Q14416_pKi	0.79222	0.79222	0.805626	0.805626	0.828403	0.827639	0.819029	0.819029	0.775832	0.775832	0.76375	0.76375	0.665972	0.773402	0.762708	0.762708
Q14790_pIC50	0.764111	0.787277	0.745612	0.730111	0.802444	0.8185	0.742111	0.810778	0.77111	0.786668	0.768611	0.768611	0.802444	0.790833	0.744611	0.789888
Q15722_pIC50	0.662666	0.681916	0.649251	0.666689	0.608668	0.611625	0.598396	0.627042	0.617125	0.617125	0.588021	0.591938	0.527249	0.60727	0.586126	0.586105
Q15858_pKi	0.715835	0.715835	0.737501	0.737501	0.662084	0.662084	0.69	0.69	0.782919	0.782919	0.733334	0.733334	0.6775	0.6775	0.585	0.585
Q16602_pKi	0.662357	0.660291	0.661659	0.649808	0.615755	0.638018	0.662892	0.662892	0.610595	0.649753	0.616511	0.642615	0.585016	0.646866	0.580744	0.661209
Q8TEK3_pKi	0.867499	0.867499	0.854168	0.854168	0.867499	0.867499	0.854168	0.854168	0.815833	0.815833	0.825	0.825	0.815833	0.815833	0.825	0.825
Q8WUI4_pIC50	0.727918	0.727918	0.744168	0.744168	0.747917	0.747917	0.772917	0.772917	0.705001	0.705001	0.712917	0.712917	0.727918	0.759584	0.712917	0.712917
Q92633_pIC50	0.664833	0.707833	0.6705	0.659666	0.688666	0.665166	0.734335	0.689333	0.726	0.713664	0.718001	0.718001	0.710667	0.710667	0.656832	0.656832
Q96GD4_pIC50	0.780217	0.77953	0.750354	0.755554	0.767512	0.763694	0.747172	0.760557	0.780991	0.757807	0.762156	0.741288	0.804283	0.800615	0.763096	0.772979
Q99250_pIC50	0.678251	0.678251	0.580583	0.580583	0.739167	0.739167	0.739167	0.739167	0.567666	0.567666	0.542166	0.542166	0.503918	0.587501	0.5	0.586169
Q9BUB5_pIC50	0.7225	0.7225	0.738332	0.738332	0.7225	0.7225	0.750834	0.750834	0.760001	0.751667	0.774169	0.710832	0.763332	0.763332	0.774169	0.760001
Q9NWZ3_pIC50	0.84262	0.84	0.80369	0.817915	0.825357	0.844463	0.803689	0.829106	0.78113	0.783452	0.782738	0.793273	0.684464	0.82101	0.699406	0.762977
Q9UBN7_pIC50	0.73527	0.74036	0.70996	0.709716	0.740812	0.728835	0.714707	0.705538	0.658596	0.653409	0.626116	0.655611	0.671413	0.712752	0.601352	0.662171
Q9UBY5_pIC50	0.737915	0.737915	0.667084	0.667084	0.722917	0.722917	0.680832	0.679998	0.797916	0.797916	0.718334	0.730001	0.694584	0.694584	0.683751	0.683751
Q9UQB9_pKd	0.672499	0.672499	0.665	0.695833	0.731666	0.731666	0.635001	0.635001	0.670833	0.670833	0.7375	0.7375	0.670833	0.715833	0.635001	0.673334
Q9Y5N1_pKi	0.668005	0.665709	0.656937	0.66459	0.659472	0.666584	0.625567	0.670831	0.644903	0.65836	0.624935	0.656376	0.639887	0.667065	0.578857	0.657598
Q9Y6L6_pIC50	0.73	0.700415	0.6275	0.6275	0.698748	0.698748	0.772084	0.772084	0.651666	0.692917	0.557499	0.576251	0.552501	0.552501	0.576666	0.576666
