fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
Q13490_pIC50	12	15	9	11	1	20	1	4	17	17	15	16	17	30	17	28
Q13822_pKi	2	3	3	6	13	16	8	16	8	8	8	8	1	2	2	3
Q16581_pIC50	7	14	10	19	7	18	10	16	16	20	19	20	1	4	1	1
Q16832_pKd	4	6	2	3	2	12	2	3	4	14	3	14	1	1	1	2
Q5NUL3_pEC50	27	30	27	33	24	55	20	93	13	39	9	49	8	16	6	33
Q6V1X1_pKi	12	12	8	9	1	4	1	2	6	6	7	7	2	6	2	6
Q7Z2W7_pIC50	6	16	7	8	1	27	1	18	9	20	9	9	15	19	16	19
Q7Z601_pEC50	7	27	14	14	1	1	1	1	15	23	14	23	2	9	2	4
Q8WUI4_pIC50	10	13	11	21	18	63	13	53	11	11	6	11	7	29	3	26
Q92731_pEC50	27	36	26	41	28	82	25	68	29	37	14	52	18	101	20	82
Q92769_pIC50	26	51	25	46	10	67	22	112	27	33	31	45	32	35	30	43
Q92847_pEC50	13	14	13	15	14	76	10	71	13	13	13	23	21	62	15	47
Q92847_pKi	12	15	10	10	2	24	2	18	14	27	18	19	13	15	9	30
Q96S37_pIC50	12	17	8	17	3	5	2	4	7	20	8	22	2	5	2	6
Q99250_pIC50	10	14	12	12	6	6	1	2	17	18	13	17	12	15	17	20
Q99500_pIC50	12	16	22	25	13	55	17	23	40	44	32	41	10	40	18	48
Q99720_pIC50	53	63	37	51	36	88	34	98	39	66	30	43	28	82	26	84
Q99720_pKi	27	67	19	50	36	123	25	146	46	73	32	56	9	103	30	112
Q9H5J4_pIC50	6	14	9	12	4	7	5	5	7	13	3	11	NA	NA	NA	NA
Q9UGN5_pIC50	4	6	4	10	12	13	1	5	10	13	2	4	NA	1	NA	NA
Q9UNQ0_pEC50	7	11	9	11	18	22	18	23	23	27	21	30	18	25	13	24
Q9Y271_pKi	3	3	8	8	1	1	1	1	9	9	10	10	8	21	11	16
Q9Y5Y4_pIC50	12	18	17	20	19	69	18	73	23	40	29	45	22	68	23	87
