fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
Q13627_pIC50	0.84791	0.84791	0.841913	0.853465	0.829246	0.867452	0.814475	0.860417	0.847324	0.845257	0.803955	0.801822	0.83976	0.854772	0.803909	0.803909
Q13822_pIC50	0.876055	0.878389	0.836725	0.86964	0.679055	0.790389	0.826499	0.820833	0.860277	0.857834	0.8205	0.809334	0.793498	0.793498	0.755556	0.755556
Q14416_pEC50	0.792445	0.808983	0.774389	0.78205	0.783568	0.792749	0.742158	0.771726	0.784062	0.777383	0.780043	0.766434	0.784953	0.775331	0.729001	0.769219
Q14416_pKi	0.886522	0.886522	0.876284	0.876284	0.812217	0.808131	0.792518	0.792518	0.897941	0.897941	0.877424	0.877424	0.606209	0.875646	0.85783	0.85783
Q14790_pIC50	0.84209	0.857016	0.834711	0.833437	0.875411	0.873254	0.841055	0.885951	0.861011	0.862051	0.866956	0.866956	0.874344	0.868754	0.83471	0.861537
Q15722_pIC50	0.859751	0.88442	0.835254	0.847493	0.823384	0.823705	0.78275	0.819134	0.833926	0.833926	0.76942	0.830528	0.641264	0.732931	0.681445	0.708021
Q15858_pKi	0.840208	0.840208	0.825415	0.825415	0.788543	0.788543	0.867916	0.867916	0.821041	0.821041	0.831877	0.831877	0.711459	0.711459	0.654792	0.654792
Q16602_pKi	0.826177	0.8474	0.833704	0.83887	0.739746	0.792333	0.740256	0.740256	0.804731	0.827925	0.817597	0.84366	0.803326	0.837668	0.795482	0.838425
Q8TEK3_pKi	0.967499	0.967499	0.977499	0.977499	0.967499	0.967499	0.977499	0.977499	0.917084	0.917084	0.8775	0.8775	0.917084	0.917084	0.8775	0.8775
Q8WUI4_pIC50	0.836876	0.836876	0.790625	0.790625	0.849029	0.849029	0.826527	0.826527	0.815416	0.815416	0.778333	0.778333	0.836876	0.844651	0.778333	0.778333
Q92633_pIC50	0.8435	0.858417	0.824	0.812667	0.850666	0.836334	0.803083	0.811834	0.859584	0.840415	0.83425	0.83425	0.83775	0.83775	0.7845	0.7845
Q96GD4_pIC50	0.915959	0.914688	0.886093	0.892287	0.911277	0.908721	0.897216	0.90015	0.909947	0.907063	0.890323	0.890484	0.916122	0.913474	0.905356	0.91069
Q99250_pIC50	0.765125	0.765125	0.728749	0.728749	0.767664	0.767664	0.767664	0.767664	0.634083	0.634083	0.692376	0.692376	0.509624	0.705458	0.562416	0.580834
Q9BUB5_pIC50	0.73	0.73	0.740418	0.740418	0.73	0.73	0.759167	0.759167	0.826669	0.845832	0.797498	0.814167	0.868333	0.868333	0.797498	0.786666
Q9NWZ3_pIC50	0.895553	0.896439	0.885141	0.888036	0.897711	0.906676	0.863996	0.872689	0.840923	0.881688	0.851409	0.872322	0.796289	0.893908	0.79501	0.869404
Q9UBN7_pIC50	0.883921	0.88849	0.857332	0.86576	0.887848	0.88155	0.869255	0.861034	0.835096	0.851966	0.794177	0.826613	0.865522	0.886208	0.776175	0.829014
Q9UBY5_pIC50	0.838682	0.838682	0.746944	0.746944	0.774514	0.774514	0.736598	0.737709	0.856043	0.856043	0.769027	0.773334	0.751806	0.751806	0.711251	0.711251
Q9UQB9_pKd	0.777083	0.777083	0.770417	0.76125	0.771667	0.771667	0.789584	0.789584	0.736668	0.736668	0.7725	0.7725	0.736668	0.794167	0.789584	0.752501
Q9Y5N1_pKi	0.886305	0.887636	0.881935	0.8779	0.885083	0.889909	0.830947	0.882711	0.870499	0.880349	0.838433	0.859712	0.859212	0.888006	0.802645	0.85626
Q9Y6L6_pIC50	0.697847	0.76125	0.707222	0.707222	0.792708	0.792708	0.841807	0.841807	0.695207	0.745486	0.594931	0.618195	0.528195	0.528195	0.545835	0.545835
