fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P28335_pEC50	0.577515	0.607393	0.572017	0.572017	0.514744	0.648001	0.5	0.610001	0.635451	0.592364	0.608813	0.604531	0.495903	0.632892	0.5	0.599965
P29274_pIC50	0.675416	0.710351	0.658525	0.670993	0.5	0.699102	0.5	0.580127	0.682469	0.640514	0.641154	0.695897	0.5	0.621858	0.602498	0.599903
P29275_pKi	0.793305	0.793244	0.766063	0.767797	0.792254	0.794703	0.772327	0.774499	0.769881	0.770844	0.736339	0.728311	0.785027	0.77852	0.729298	0.734933
P29375_pIC50	0.833608	0.833608	0.816608	0.816608	0.795467	0.857468	0.7975	0.8078	0.857941	0.857941	0.838224	0.838224	0.843293	0.852276	0.760417	0.850332
P29466_pKi	0.787411	0.805519	0.819756	0.815608	0.792442	0.830704	0.782491	0.825144	0.808515	0.793321	0.812904	0.807638	0.798143	0.815539	0.782616	0.823259
P30291_pIC50	0.695275	0.695275	0.69935	0.69935	0.737542	0.684064	0.743091	0.688014	0.731973	0.731973	0.706707	0.706707	0.5	0.5	0.5	0.5
P30542_pIC50	0.716667	0.711283	0.692375	0.691123	0.659713	0.653911	0.678911	0.707532	0.697436	0.713237	0.685032	0.703463	0.695898	0.690448	0.5	0.625737
P32238_pIC50	0.859319	0.85823	0.856192	0.8741	0.872251	0.87696	0.881077	0.875854	0.858095	0.871232	0.868415	0.867657	0.88214	0.871142	0.885497	0.885497
P34913_pIC50	0.720027	0.726166	0.690765	0.69511	0.705095	0.727609	0.618162	0.693371	0.722408	0.713815	0.681271	0.683233	0.685641	0.726959	0.63834	0.693001
P35236_pIC50	0.559768	0.555655	0.563135	0.553377	0.553442	0.544411	0.563302	0.551678	0.537366	0.545502	0.545655	0.547586	0.5	0.498377	0.5	0.5
