fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
Q02127_pIC50	0.811365	0.824659	0.802656	0.792221	0.810104	0.827358	0.719413	0.835067	0.806631	0.805503	0.803572	0.814674	0.833007	0.832547	0.804995	0.795182
Q04759_pIC50	0.943472	0.948435	0.948098	0.948098	0.954375	0.950492	0.955736	0.955736	0.949024	0.947304	0.955806	0.956605	0.950638	0.949204	0.9611	0.9611
Q12866_pIC50	0.889669	0.889669	0.90826	0.892824	0.918102	0.918102	0.917999	0.912798	0.892495	0.891596	0.884451	0.899897	0.900303	0.900303	0.90129	0.899467
Q12908_pIC50	0.928117	0.931424	0.925857	0.934523	0.904681	0.904681	0.914132	0.914132	0.922345	0.915545	0.917495	0.917887	0.935868	0.935868	0.923671	0.918817
Q13133_pIC50	0.932291	0.934821	0.93324	0.936639	0.933018	0.937326	0.92849	0.935918	0.928063	0.932375	0.922254	0.922577	0.93112	0.929379	0.936462	0.931894
Q13258_pIC50	0.94358	0.940817	0.936436	0.936436	0.934493	0.948007	0.938439	0.94779	0.94152	0.94152	0.939359	0.939359	0.942806	0.942806	0.942616	0.940992
Q13464_pIC50	0.89531	0.902213	0.901006	0.893262	0.882859	0.903982	0.889155	0.889155	0.895719	0.895719	0.891668	0.881589	0.896292	0.900158	0.899006	0.892562
Q13627_pIC50	0.78297	0.78297	0.79348	0.792642	0.762901	0.794547	0.773121	0.810956	0.77945	0.774903	0.747979	0.755145	0.764252	0.780671	0.765715	0.765715
Q13822_pIC50	0.823876	0.802957	0.771545	0.802566	0.712074	0.765606	0.785948	0.782456	0.793508	0.799972	0.786828	0.752353	0.770331	0.770331	0.737285	0.737285
Q14416_pEC50	0.798034	0.811144	0.80417	0.802831	0.791789	0.79852	0.782407	0.808986	0.811208	0.81075	0.80953	0.811644	0.800827	0.801088	0.796463	0.804848
Q14416_pKi	0.864602	0.864602	0.879821	0.879821	0.857926	0.894808	0.86025	0.86025	0.860394	0.860394	0.858453	0.858453	0.860469	0.854431	0.872759	0.872759
Q14790_pIC50	0.758906	0.784759	0.741462	0.721422	0.789092	0.811473	0.738408	0.806617	0.763229	0.780549	0.767723	0.767723	0.8015	0.78645	0.729258	0.787966
Q15722_pIC50	0.925546	0.926819	0.918985	0.922902	0.920142	0.919451	0.909954	0.925087	0.928802	0.928802	0.917983	0.918982	0.917629	0.917785	0.911676	0.911622
Q15858_pKi	0.776412	0.776412	0.793698	0.793698	0.716215	0.716215	0.763438	0.763438	0.787722	0.787722	0.77635	0.77635	0.795517	0.795517	0.763975	0.763975
Q16602_pKi	0.918302	0.920702	0.920029	0.913441	0.895662	0.913949	0.907485	0.907485	0.907234	0.914564	0.903978	0.912094	0.902342	0.914243	0.896995	0.914166
Q8TEK3_pKi	0.850334	0.850334	0.830761	0.830761	0.850334	0.850334	0.830761	0.830761	0.780668	0.780668	0.783999	0.783999	0.780668	0.780668	0.783999	0.783999
Q8WUI4_pIC50	0.65669	0.65669	0.659977	0.659977	0.684761	0.684761	0.694453	0.694453	0.622927	0.622927	0.627239	0.627239	0.65669	0.686881	0.627239	0.627239
Q92633_pIC50	0.830075	0.847792	0.824142	0.805854	0.819624	0.815497	0.843105	0.821846	0.865684	0.854748	0.846	0.846	0.839057	0.839057	0.818131	0.818131
Q96GD4_pIC50	0.939428	0.939594	0.931614	0.933316	0.936603	0.935767	0.932322	0.935369	0.940746	0.937718	0.935052	0.931322	0.944007	0.943598	0.936205	0.938195
Q99250_pIC50	0.543713	0.543713	0.368333	0.368333	0.631453	0.631453	0.631453	0.631453	0.371428	0.371428	0.314334	0.314334	0.304048	0.337001	0	0.361475
Q9BUB5_pIC50	0.660811	0.660811	0.760214	0.760214	0.660811	0.660811	0.713809	0.713809	0.743356	0.742786	0.753428	0.738356	0.739975	0.739975	0.753428	0.754309
Q9NWZ3_pIC50	0.89563	0.896617	0.872552	0.884785	0.879601	0.896924	0.863685	0.872383	0.867505	0.867865	0.860083	0.86742	0.799582	0.890156	0.77711	0.847053
Q9UBN7_pIC50	0.923134	0.928754	0.913129	0.919414	0.921982	0.924949	0.918818	0.918588	0.911461	0.910714	0.901863	0.907306	0.91682	0.925074	0.902166	0.912802
Q9UBY5_pIC50	0.779603	0.779603	0.707293	0.707293	0.740606	0.740606	0.761668	0.760834	0.816691	0.816691	0.769159	0.736216	0.736078	0.736078	0.739388	0.739388
Q9UQB9_pKd	0.633714	0.633714	0.6415	0.689596	0.772262	0.772262	0.641381	0.641381	0.675333	0.675333	0.718571	0.718571	0.675333	0.714857	0.641381	0.658
Q9Y5N1_pKi	0.965531	0.965374	0.963812	0.964243	0.964754	0.965719	0.960504	0.965687	0.960835	0.962545	0.960939	0.963785	0.960906	0.964311	0.957413	0.963398
Q9Y6L6_pIC50	0.648192	0.602262	0.508976	0.508976	0.625166	0.625166	0.712665	0.712665	0.555285	0.597668	0.446071	0.476691	0.432143	0.432143	0.435999	0.435999
