target_measurement	structure_features
O15111_pIC50	constitutional_nAromBond,constitutional_ALogP,electronic_nHBDon,geometrical_MOMI.XY,hybrid_Wlambda2.unity,hybrid_Wnu2.unity,hybrid_Weta1.unity,hybrid_BCUTw.1h,hybrid_BCUTp.1h,topological_nAromRings,topological_nRingBlocks,topological_nRings5,topological_MDEN.22,topological_khs.aaCH,topological_khs.sssCH,topological_khs.aaaC,topological_khs.aaNH,topological_khs.aaN,topological_khs.dO,topological_khs.aaS,topological_khs.ddssS,topological_HybRatio,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.6,topological_VCH.7,topological_C1SP2,topological_C3SP2,topological_ATSc3,topological_ATSc4,topological_ATSc5
O15120_pIC50	constitutional_nAromBond,constitutional_naAromAtom,electronic_nHBDon,electronic_DPSA.1,electronic_FPSA.1,electronic_FNSA.1,electronic_RNCG,electronic_bpol,geometrical_geomShape,geometrical_DPSA.1,geometrical_FPSA.1,geometrical_FNSA.1,geometrical_RNCG,hybrid_Weta3.unity,topological_nRings5,topological_geomShape,topological_MDEC.33,topological_khs.sCH3,topological_khs.aaCH,topological_khs.dssC,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.aaO,topological_HybRatio,topological_fragC,topological_VCH.5,topological_C2SP2
O15244_pIC50	constitutional_nAtomP,constitutional_nBase,constitutional_nAromBond,constitutional_naAromAtom,electronic_tpsaEfficiency,electronic_nHBDon,electronic_PNSA.1,electronic_FPSA.1,electronic_FPSA.3,electronic_FNSA.1,electronic_WNSA.1,geometrical_topoShape,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_PNSA.1,geometrical_FPSA.1,geometrical_FPSA.3,geometrical_FNSA.1,geometrical_WNSA.1,hybrid_Weta3.unity,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nRings6,topological_tpsaEfficiency,topological_VAdjMat,topological_topoShape,topological_PetitjeanNumber,topological_MDEC.23,topological_khs.ssCH2,topological_khs.sssCH,topological_khs.dssC,topological_khs.aasC,topological_khs.sNH2,topological_khs.sssN,topological_khs.ssssN,topological_khs.ssO,topological_HybRatio,topological_FMF,topological_C2SP2,topological_C3SP2,topological_C2SP3,topological_ATSm1,topological_ATSc3
O15379_pIC50	constitutional_nRotB,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomLC,constitutional_ALogP,electronic_nHBDon,electronic_RPCS,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_LOBMAX,geometrical_RPCS,hybrid_Wlambda3.unity,hybrid_BCUTw.1h,hybrid_BCUTc.1l,hybrid_BCUTc.1h,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nRings6,topological_MDEC.14,topological_MDEC.24,topological_MDEN.22,topological_MDEN.23,topological_khs.ssCH2,topological_khs.dsCH,topological_khs.aaCH,topological_khs.sssCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.aaN,topological_khs.aasN,topological_khs.sOH,topological_khs.dO,topological_Kier2,topological_Kier3,topological_HybRatio,topological_FMF,topological_VCH.5,topological_VCH.6,topological_VCH.7,topological_C1SP2,topological_C3SP2,topological_C2SP3,topological_C4SP3,topological_ATSc1,topological_ATSc2
O15530_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nBase,electronic_TopoPSA,electronic_nHBDon,electronic_FNSA.2,electronic_FNSA.3,electronic_RPCG,electronic_RHSA,electronic_RPSA,geometrical_MOMI.Y,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_MOMI.R,geometrical_FNSA.2,geometrical_FNSA.3,geometrical_RPCG,geometrical_RHSA,geometrical_RPSA,hybrid_Wlambda3.unity,hybrid_Weta1.unity,hybrid_Weta2.unity,hybrid_WT.unity,topological_TopoPSA,topological_MDEC.33,topological_khs.sssCH,topological_khs.tsC,topological_khs.dssC,topological_khs.aasC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aasN,topological_khs.dO,topological_khs.sF,topological_SCH.6,topological_SCH.7,topological_VCH.6,topological_VCH.7,topological_C2SP1,topological_C2SP2,topological_C3SP2,topological_C1SP3,topological_C2SP3
O15552_pIC50	constitutional_nAtomLC,constitutional_ALogP,electronic_nHBDon,topological_nAromBlocks,topological_khs.ssNH,topological_C2SP3
O43174_pIC50	constitutional_nAtomLAC,constitutional_nAtomLC,electronic_PPSA.2,electronic_DPSA.2,electronic_THSA,geometrical_PPSA.2,geometrical_DPSA.2,geometrical_THSA,topological_WPATH,topological_khs.sssCH,topological_SCH.5,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSc4,topological_ATSc5
O43193_pEC50	electronic_nHBDon,electronic_RNCG,electronic_RNCS,geometrical_LOBMAX,geometrical_RNCG,geometrical_RNCS,hybrid_BCUTc.1l,hybrid_BCUTp.1l,topological_nRings5,topological_MDEC.22,topological_MDEN.12,topological_MDEN.13,topological_MDEN.22,topological_khs.dssC,topological_khs.sNH2,topological_khs.aaNH,topological_khs.aaN,topological_SCH.7,topological_VCH.5,topological_VCH.7
O43318_pIC50	hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_khs.aaaC,topological_khs.aaS,topological_FMF,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_VCH.6,topological_VCH.7,topological_ATSm1
O43353_pIC50	electronic_nHBDon,topological_MDEC.14,topological_MDEN.12,topological_MDEN.13,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aaN,topological_khs.dO
O43451_pIC50	constitutional_nBase,hybrid_BCUTc.1h,hybrid_BCUTp.1h,topological_MDEC.34,topological_MDEO.11,topological_khs.dsCH,topological_khs.dssC,topological_khs.ssssC,topological_khs.ssNH,topological_VCH.6,topological_C2SP2,topological_C1SP3,topological_C3SP3,topological_ATSc3
O43497_pIC50	constitutional_XLogP,constitutional_LipinskiFailures,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nBase,constitutional_nAromBond,electronic_nHBAcc,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_MDEC.11,topological_MDEC.12,topological_MDEC.14,topological_MDEC.24,topological_MDEC.34,topological_MDEN.23,topological_MDEN.33,topological_khs.sCH3,topological_khs.sssCH,topological_khs.ssssC,topological_khs.sssN,topological_khs.dO,topological_khs.sF,topological_HybRatio,topological_FMF,topological_C3SP2,topological_C3SP3,topological_C4SP3,topological_ATSc2,topological_ATSc3,topological_ATSc4
O43570_pKi	constitutional_XLogP,constitutional_MW,constitutional_LipinskiFailures,constitutional_nRotB,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nAromBond,constitutional_ALogP,constitutional_ALogp2,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_nHBAcc,electronic_PNSA.1,electronic_WNSA.1,electronic_RNCG,electronic_bpol,geometrical_MOMI.Y,geometrical_MOMI.XY,geometrical_MOMI.R,geometrical_GRAV.1,geometrical_GRAV.2,geometrical_GRAV.3,geometrical_GRAVH.1,geometrical_GRAVH.2,geometrical_GRAVH.3,geometrical_GRAV.5,geometrical_GRAV.6,geometrical_PNSA.1,geometrical_WNSA.1,geometrical_RNCG,hybrid_WT.unity,hybrid_BCUTw.1h,hybrid_BCUTc.1l,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings5,topological_nRings6,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.23,topological_MDEC.33,topological_MDEN.12,topological_khs.sCH3,topological_khs.dsCH,topological_khs.dssC,topological_khs.aasC,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.sOH,topological_khs.dO,topological_khs.aaO,topological_khs.ddssS,topological_khs.sCl,topological_Kier3,topological_FMF,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_VCH.6,topological_C3SP2,topological_C1SP3,topological_ATSm1,topological_ATSm2,topological_ATSm3
O43603_pIC50	constitutional_LipinskiFailures,constitutional_nBase,electronic_PPSA.2,electronic_DPSA.2,electronic_WPSA.2,electronic_WPSA.3,electronic_WNSA.2,geometrical_PPSA.2,geometrical_DPSA.2,geometrical_WPSA.2,geometrical_WPSA.3,geometrical_WNSA.2,hybrid_WA.unity,hybrid_WV.unity,topological_WPATH,topological_MDEN.11,topological_MDEN.13,topological_khs.sNH2,topological_khs.dsN,topological_fragC,topological_C3SP3
O43613_pEC50	hybrid_BCUTw.1l,topological_MDEN.33,topological_khs.sNH2,topological_khs.dNH,topological_khs.dsN
O43614_pEC50	constitutional_nAtomLAC,hybrid_BCUTw.1l,topological_MDEN.13,topological_MDEN.33,topological_khs.dsN
O60218_pIC50	constitutional_nAtomLAC,electronic_nHBAcc,hybrid_BCUTp.1h,topological_nRings5,topological_MDEN.33,topological_khs.ssCH2,topological_khs.dssC,topological_khs.ssNH,topological_khs.dsN,topological_khs.sssN,topological_khs.aasN,topological_khs.aaO,topological_khs.dS,topological_Kier3,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_VCH.6,topological_C3SP2,topological_C2SP3,topological_ATSc3,topological_ATSc4,topological_ATSc5
O60341_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nBase,constitutional_nAromBond,constitutional_naAromAtom,electronic_RPCG,geometrical_RPCG,topological_nAromRings,topological_nAromBlocks,topological_tpsaEfficiency,topological_MDEN.22,topological_MDEN.23,topological_MDEN.33,topological_khs.dsCH,topological_khs.dssC,topological_khs.dsN,topological_khs.aaN,topological_khs.sssN,topological_khs.aasN,topological_khs.dS,topological_khs.ssS,topological_SCH.5,topological_VCH.5,topological_VCH.6,topological_C1SP3
O60563_pKi	constitutional_XLogP,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogp2,electronic_tpsaEfficiency,electronic_TopoPSA,hybrid_Weta2.unity,hybrid_BCUTp.1l,topological_nAromRings,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.11,topological_MDEC.13,topological_MDEC.33,topological_khs.aaCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.aasN,topological_khs.aaS,topological_SCH.5,topological_VCH.5
O60674_pKi	constitutional_nAtomP,electronic_TopoPSA,electronic_nHBDon,geometrical_MOMI.XY,geometrical_GRAV.2,hybrid_Wlambda2.unity,hybrid_Wnu2.unity,hybrid_WK.unity,topological_nAromBlocks,topological_nRings5,topological_nRings7,topological_WPOL,topological_TopoPSA,topological_MDEC.33,topological_MDEN.12,topological_MDEN.23,topological_MDEN.33,topological_khs.tsC,topological_khs.aaaC,topological_khs.ssNH,topological_khs.tN,topological_khs.aaN,topological_khs.aasN,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.6,topological_VCH.7,topological_C1SP1,topological_C1SP2,topological_C3SP2,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5
O60725_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_ALogp2,electronic_nHBDon,hybrid_BCUTp.1h,topological_nAromRings,topological_nRingBlocks,topological_nRings5,topological_nRings6,topological_MDEC.11,topological_MDEC.14,topological_MDEC.24,topological_MDEC.33,topological_MDEC.34,topological_MDEC.44,topological_MDEN.13,topological_khs.ssCH2,topological_khs.dssC,topological_khs.aasC,topological_khs.aaaC,topological_khs.ssssC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aasN,topological_khs.ssO,topological_HybRatio,topological_FMF,topological_SCH.5,topological_SCH.6,topological_SCH.7,topological_VCH.5,topological_C1SP2,topological_C3SP3,topological_C4SP3
O60885_pIC50	geometrical_LOBMAX,geometrical_LOBMIN,topological_nRingBlocks,topological_nRings5,topological_khs.dssC,topological_khs.ssNH,topological_khs.aaN,topological_khs.dO,topological_khs.ddssS,topological_SCH.6,topological_C1SP2,topological_ATSc3
O75116_pIC50	constitutional_nAtomP,constitutional_nBase,constitutional_nAromBond,constitutional_naAromAtom,topological_nAromBlocks,topological_nRings6,topological_MDEC.23,topological_MDEC.33,topological_khs.sssCH,topological_khs.aasC,topological_khs.aaNH,topological_C3SP2,topological_C3SP3,topological_ATSp3,topological_ATSp4
O75173_pIC50	constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,constitutional_ALogp2,electronic_nHBDon,hybrid_Wlambda3.unity,hybrid_BCUTp.1h,topological_nAromRings,topological_nAromBlocks,topological_MDEC.23,topological_MDEC.24,topological_MDEN.33,topological_khs.ssCH2,topological_khs.dsCH,topological_khs.aaCH,topological_khs.sssCH,topological_khs.dssC,topological_khs.ssssC,topological_khs.ssNH,topological_khs.sssN,topological_HybRatio,topological_C2SP2,topological_C2SP3,topological_C3SP3
O75460_pEC50	constitutional_XLogP,constitutional_MLogP,constitutional_nAromBond,constitutional_naAromAtom,electronic_RNCS,geometrical_MOMI.XY,geometrical_MOMI.XZ,geometrical_MOMI.YZ,geometrical_LOBMAX,geometrical_LOBMIN,geometrical_RNCS,hybrid_Wlambda3.unity,hybrid_Wnu2.unity,hybrid_Weta3.unity,hybrid_WK.unity,hybrid_BCUTc.1l,hybrid_BCUTp.1l,topological_nSmallRings,topological_nAromRings,topological_nRings6,topological_MDEC.22,topological_MDEC.23,topological_MDEC.33,topological_khs.aaCH,topological_khs.aasC,topological_khs.aaaC,topological_khs.aaS,topological_FMF,topological_SCH.6,topological_SCH.7,topological_C3SP2,topological_ATSc4
