target_measurement	structure_features
O75173_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,constitutional_nAromBond,constitutional_naAromAtom,electronic_nHBDon,electronic_RPCG,geometrical_RPCG,topological_nAromRings,topological_nAromBlocks,topological_MDEC.24,topological_khs.ssCH2,topological_khs.aaCH,topological_khs.sssCH,topological_khs.dssC,topological_khs.ssssC,topological_khs.ssNH,topological_HybRatio,topological_C2SP2,topological_C2SP3
O75469_pEC50	topological_nRingBlocks,topological_MDEC.24,topological_khs.aaaC,topological_khs.aaN,topological_khs.ddssS
O75908_pIC50	topological_MDEC.34,topological_MDEN.22,topological_khs.ssNH
O76074_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nBase,electronic_nHBDon,electronic_nHBAcc,electronic_FPSA.3,electronic_RPCS,electronic_THSA,geometrical_FPSA.3,geometrical_RPCS,geometrical_THSA,hybrid_BCUTc.1l,hybrid_BCUTp.1h,topological_nSmallRings,topological_nAromRings,topological_nRingBlocks,topological_nAromBlocks,topological_nRings3,topological_MDEC.23,topological_MDEC.33,topological_MDEO.11,topological_MDEO.12,topological_MDEO.22,topological_MDEN.23,topological_khs.ssCH2,topological_khs.dsCH,topological_khs.dssC,topological_khs.aasC,topological_khs.aaaC,topological_khs.aaN,topological_khs.aasN,topological_khs.sOH,topological_khs.ssO,topological_Kier3,topological_FMF,topological_SCH.3,topological_VCH.3,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_C1SP3,topological_C3SP3
O94925_pIC50	constitutional_XLogP,constitutional_MLogP,constitutional_nAtomLAC,constitutional_nAtomP,electronic_tpsaEfficiency,electronic_TopoPSA,electronic_PPSA.3,geometrical_PPSA.3,hybrid_Wlambda1.unity,hybrid_Weta1.unity,hybrid_BCUTp.1l,hybrid_BCUTp.1h,topological_nRings5,topological_nRings6,topological_tpsaEfficiency,topological_TopoPSA,topological_MDEC.23,topological_MDEC.33,topological_MDEO.11,topological_MDEN.22,topological_khs.ssCH2,topological_khs.sssCH,topological_khs.aasC,topological_khs.ssS,topological_khs.aaS,topological_SCH.5,topological_VCH.5,topological_VCH.6,topological_C1SP2,topological_C2SP2,topological_C3SP2,topological_C2SP3,topological_ATSp1,topological_ATSp2,topological_ATSp3,topological_ATSp4,topological_ATSp5,topological_ATSm5,topological_ATSc4,topological_ATSc5
O95136_pIC50	constitutional_nBase,electronic_nHBDon,hybrid_BCUTp.1l,topological_khs.sssCH,topological_khs.dO,topological_khs.dsssP
O95822_pIC50	constitutional_nAtomP,constitutional_nAromBond,constitutional_naAromAtom,geometrical_MOMI.XY,geometrical_LOBMAX,geometrical_LOBMIN,hybrid_BCUTw.1h,topological_MDEC.33,topological_MDEN.23,topological_khs.aaCH,topological_khs.aasC,topological_khs.ssNH,topological_khs.aaN,topological_khs.sssN,topological_khs.aasN,topological_khs.aaS,topological_SCH.5,topological_SCH.7,topological_VCH.5,topological_VCH.6,topological_VCH.7
O96017_pIC50	constitutional_nAtomLC,electronic_nHBDon,electronic_nHBAcc,hybrid_Wlambda2.unity,topological_nSmallRings,topological_nRings5,topological_MDEN.12,topological_MDEN.13,topological_MDEN.23,topological_khs.aaaC,topological_khs.sNH2,topological_khs.ssNH,topological_khs.aaNH,topological_khs.aaN,topological_khs.aaS,topological_SCH.5,topological_VCH.5,topological_C1SP2,topological_C2SP2,topological_ATSc5
P00374_pKi	constitutional_nAromBond,constitutional_naAromAtom,constitutional_ALogP,electronic_tpsaEfficiency,topological_nSmallRings,topological_nAromRings,topological_nAromBlocks,topological_tpsaEfficiency,topological_MDEC.23,topological_MDEC.34,topological_MDEN.11,topological_MDEN.12,topological_MDEN.13,topological_MDEN.23,topological_khs.dssC,topological_khs.ssssC,topological_khs.sNH2,topological_khs.aaN,topological_C2SP2
P00488_pIC50	constitutional_nAtomLAC,constitutional_nAtomP,constitutional_nAtomLC,topological_khs.dsCH,topological_C1SP2,topological_ATSc5
