	constitutional_XLogP	constitutional_MW	constitutional_LipinskiFailures	constitutional_nRotB	constitutional_MLogP	constitutional_nAtomLAC	constitutional_nAtomP	constitutional_nAtomLC	constitutional_nB	constitutional_nBase	constitutional_nAtom	constitutional_nAromBond	constitutional_naAromAtom	constitutional_ALogP	constitutional_ALogp2	constitutional_AMR	electronic_tpsaEfficiency	electronic_TopoPSA	electronic_nHBDon	electronic_nHBAcc	electronic_PPSA.1	electronic_PPSA.2	electronic_PPSA.3	electronic_PNSA.1	electronic_PNSA.2	electronic_PNSA.3	electronic_DPSA.1	electronic_DPSA.2	electronic_DPSA.3	electronic_FPSA.1	electronic_FPSA.2	electronic_FPSA.3	electronic_FNSA.1	electronic_FNSA.2	electronic_FNSA.3	electronic_WPSA.1	electronic_WPSA.2	electronic_WPSA.3	electronic_WNSA.1	electronic_WNSA.2	electronic_WNSA.3	electronic_RPCG	electronic_RNCG	electronic_RPCS	electronic_RNCS	electronic_THSA	electronic_TPSA	electronic_RHSA	electronic_RPSA	electronic_bpol	electronic_apol	geometrical_topoShape	geometrical_geomShape	geometrical_MOMI.X	geometrical_MOMI.Y	geometrical_MOMI.Z	geometrical_MOMI.XY	geometrical_MOMI.XZ	geometrical_MOMI.YZ	geometrical_MOMI.R	geometrical_LOBMAX	geometrical_LOBMIN	geometrical_GRAV.1	geometrical_GRAV.2	geometrical_GRAV.3	geometrical_GRAVH.1	geometrical_GRAVH.2	geometrical_GRAVH.3	geometrical_GRAV.4	geometrical_GRAV.5	geometrical_GRAV.6	geometrical_PPSA.1	geometrical_PPSA.2	geometrical_PPSA.3	geometrical_PNSA.1	geometrical_PNSA.2	geometrical_PNSA.3	geometrical_DPSA.1	geometrical_DPSA.2	geometrical_DPSA.3	geometrical_FPSA.1	geometrical_FPSA.2	geometrical_FPSA.3	geometrical_FNSA.1	geometrical_FNSA.2	geometrical_FNSA.3	geometrical_WPSA.1	geometrical_WPSA.2	geometrical_WPSA.3	geometrical_WNSA.1	geometrical_WNSA.2	geometrical_WNSA.3	geometrical_RPCG	geometrical_RNCG	geometrical_RPCS	geometrical_RNCS	geometrical_THSA	geometrical_TPSA	geometrical_RHSA	geometrical_RPSA	hybrid_Wlambda1.unity	hybrid_Wlambda2.unity	hybrid_Wlambda3.unity	hybrid_Wnu1.unity	hybrid_Wnu2.unity	hybrid_Weta1.unity	hybrid_Weta2.unity	hybrid_Weta3.unity	hybrid_WT.unity	hybrid_WA.unity	hybrid_WV.unity	hybrid_WK.unity	hybrid_WD.unity	hybrid_BCUTw.1l	hybrid_BCUTw.1h	hybrid_BCUTc.1l	hybrid_BCUTc.1h	hybrid_BCUTp.1l	hybrid_BCUTp.1h	topological_nSmallRings	topological_nAromRings	topological_nRingBlocks	topological_nAromBlocks	topological_nRings3	topological_nRings4	topological_nRings5	topological_nRings6	topological_nRings7	topological_nRings8	topological_nRings9	topological_tpsaEfficiency	topological_Zagreb	topological_WPATH	topological_WPOL	topological_VAdjMat	topological_VABC	topological_TopoPSA	topological_topoShape	topological_geomShape	topological_PetitjeanNumber	topological_MDEC.11	topological_MDEC.12	topological_MDEC.13	topological_MDEC.14	topological_MDEC.22	topological_MDEC.23	topological_MDEC.24	topological_MDEC.33	topological_MDEC.34	topological_MDEC.44	topological_MDEO.11	topological_MDEO.12	topological_MDEO.22	topological_MDEN.11	topological_MDEN.12	topological_MDEN.13	topological_MDEN.22	topological_MDEN.23	topological_MDEN.33	topological_khs.sLi	topological_khs.ssBe	topological_khs.ssssBe	topological_khs.ssBH	topological_khs.sssB	topological_khs.ssssB	topological_khs.sCH3	topological_khs.dCH2	topological_khs.ssCH2	topological_khs.tCH	topological_khs.dsCH	topological_khs.aaCH	topological_khs.sssCH	topological_khs.ddC	topological_khs.tsC	topological_khs.dssC	topological_khs.aasC	topological_khs.aaaC	topological_khs.ssssC	topological_khs.sNH3	topological_khs.sNH2	topological_khs.ssNH2	topological_khs.dNH	topological_khs.ssNH	topological_khs.aaNH	topological_khs.tN	topological_khs.sssNH	topological_khs.dsN	topological_khs.aaN	topological_khs.sssN	topological_khs.ddsN	topological_khs.aasN	topological_khs.ssssN	topological_khs.sOH	topological_khs.dO	topological_khs.ssO	topological_khs.aaO	topological_khs.sF	topological_khs.sSiH3	topological_khs.ssSiH2	topological_khs.sssSiH	topological_khs.ssssSi	topological_khs.sPH2	topological_khs.ssPH	topological_khs.sssP	topological_khs.dsssP	topological_khs.sssssP	topological_khs.sSH	topological_khs.dS	topological_khs.ssS	topological_khs.aaS	topological_khs.dssS	topological_khs.ddssS	topological_khs.sCl	topological_khs.sGeH3	topological_khs.ssGeH2	topological_khs.sssGeH	topological_khs.ssssGe	topological_khs.sAsH2	topological_khs.ssAsH	topological_khs.sssAs	topological_khs.sssdAs	topological_khs.sssssAs	topological_khs.sSeH	topological_khs.dSe	topological_khs.ssSe	topological_khs.aaSe	topological_khs.dssSe	topological_khs.ddssSe	topological_khs.sBr	topological_khs.sSnH3	topological_khs.ssSnH2	topological_khs.sssSnH	topological_khs.ssssSn	topological_khs.sI	topological_khs.sPbH3	topological_khs.ssPbH2	topological_khs.sssPbH	topological_khs.ssssPb	topological_Kier1	topological_Kier2	topological_Kier3	topological_HybRatio	topological_fragC	topological_FMF	topological_ECCEN	topological_SCH.3	topological_SCH.4	topological_SCH.5	topological_SCH.6	topological_SCH.7	topological_VCH.3	topological_VCH.4	topological_VCH.5	topological_VCH.6	topological_VCH.7	topological_C1SP1	topological_C2SP1	topological_C1SP2	topological_C2SP2	topological_C3SP2	topological_C1SP3	topological_C2SP3	topological_C3SP3	topological_C4SP3	topological_ATSp1	topological_ATSp2	topological_ATSp3	topological_ATSp4	topological_ATSp5	topological_ATSm1	topological_ATSm2	topological_ATSm3	topological_ATSm4	topological_ATSm5	topological_ATSc1	topological_ATSc2	topological_ATSc3	topological_ATSc4	topological_ATSc5	toxicity_label
floxuridine	-1.40000	246.06520	0	2	1.57000	0	8	2	18	0	28	6	6	-0.56190	0.31573	42.44940	0.40274	99.10000	3	7	272.83044	606.17245	30.64188	206.78756	-459.43891	-59.30501	66.04288	1065.61136	89.94689	0.56885	1.26387	0.06389	0.43115	-0.95793	-0.12365	130.85439	290.73121	14.69639	99.17903	-220.35517	-28.44375	0.12953	0.17688	1.34018	4.10030	252.48116	227.13683	0.52642	0.47358	19.70028	29.94172	0.80000	0.83217	2057.99484	1726.52177	628.78704	1.19199	3.27296	2.74580	5.77805	1.44430	1.35111	1587.10930	39.83854	11.66458	1710.39876	41.35697	11.95912	3412.26531	58.41460	15.05501	272.83044	606.17245	30.64188	206.78756	-459.43891	-59.30501	66.04288	1065.61136	89.94689	0.56885	1.26387	0.06389	0.43115	-0.95793	-0.12365	130.85439	290.73121	14.69639	99.17903	-220.35517	-28.44375	0.12953	0.17688	1.34018	4.10030	252.48116	227.13683	0.52642	0.47358	0.89251	1.95386	6.67322	0.09375	0.20525	0.43985	0.47284	0.52548	9.51959	20.73830	41.89492	0.27575	1.43817	11.99746	19.00014	-0.39329	0.28791	4.28077	9.36117	2	1	2	1	0	0	1	1	0	0	0	0.42489	88	505	26	5.16993	203.61024	99.10000	0.80000	0.83217	0.44444	0.00000	0.00000	0.00000	0.00000	0.84343	7.08684	0.00000	5.18608	0.00000	0.00000	0.99396	1.04339	0.00000	0.00000	0.00000	0.00000	0.00000	0.50000	0.00000	0	0	0	0	0	0	0	0	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.43210	5.32544	2.71280	0.55556	569.08000	0.39286	242	0.00000	0.00000	0.09623	0.27538	0.50102	0.00000	0.00000	0.05556	0.10511	0.11918	0	0	2	1	0	2	3	0	0	838.14046	989.67766	1394.82687	1270.61952	985.36032	23.09435	21.40525	32.56059	34.49715	28.14019	0.80292	-0.36886	0.03702	-0.20179	0.18454	0
flubendazole	3.37800	313.08627	0	5	2.45000	0	21	4	25	0	35	16	15	3.49150	12.19057	79.06440	0.26855	84.08000	2	5	461.93654	895.03059	47.25049	258.13818	-500.15867	-44.11385	203.79836	1395.18926	91.36434	0.64151	1.24297	0.06562	0.35849	-0.69459	-0.06126	332.62883	644.48890	34.02388	185.87878	-360.15162	-31.76527	0.17725	0.15785	5.86398	1.78013	526.05350	194.02122	0.73055	0.26945	20.79348	42.42452	1.00000	0.84399	6300.43581	5965.01856	609.96803	1.05623	10.32912	9.77923	7.55097	3.51568	3.51568	2104.20170	45.87158	12.81433	2230.73394	47.23065	13.06620	4362.63872	66.05027	16.33991	461.93654	895.03059	47.25049	258.13818	-500.15867	-44.11385	203.79836	1395.18926	91.36434	0.64151	1.24297	0.06562	0.35849	-0.69459	-0.06126	332.62883	644.48890	34.02388	185.87878	-360.15162	-31.76527	0.17725	0.15785	5.86398	1.78013	526.05350	194.02122	0.73055	0.26945	0.68445	2.51838	18.82803	0.03107	0.11431	0.30758	0.45137	0.56495	22.03087	62.02679	116.51185	0.39097	1.32390	11.85000	18.99841	-0.30598	0.34350	4.03576	9.83252	3	3	2	2	0	0	1	2	0	0	0	0.26855	120	1301	34	5.64386	257.22323	84.08000	1.00000	0.84399	0.50000	0.00000	0.73918	1.25677	0.00000	6.64602	17.01292	0.00000	7.70291	0.00000	0.00000	0.11111	0.47140	0.00000	0.00000	0.00000	0.00000	1.50000	0.00000	0.00000	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	2	4	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.81120	7.92000	4.34568	0.06250	863.07000	0.45714	512	0.00000	0.00000	0.09623	0.35550	0.53797	0.00000	0.00000	0.02795	0.09808	0.10903	0	0	0	11	2	0	0	0	0	1328.59842	1562.18547	2182.21871	2062.30047	1738.17061	27.90539	27.90724	40.45382	38.98385	33.95491	0.62338	-0.43888	0.29197	-0.28577	0.23701	0
fluconazole	0.38300	306.10407	0	5	1.90000	3	6	3	24	0	34	16	16	0.87780	0.77053	76.54980	0.26674	81.65000	1	5	341.14483	681.35554	31.95790	226.10545	-451.59179	-46.55026	115.03937	1132.94733	78.50816	0.60140	1.20116	0.05634	0.39860	-0.79611	-0.08206	193.51450	386.49912	18.12813	128.25838	-256.16557	-26.40565	0.10571	0.19109	2.24022	3.93463	384.12535	183.12493	0.67717	0.32283	22.12448	39.39752	0.80000	0.87320	3073.15397	2504.09773	1096.46619	1.22725	2.80278	2.28379	6.46483	1.45358	1.45358	2084.66766	45.65816	12.77455	2211.49130	47.02650	13.02852	4672.97725	68.35918	16.71852	341.14483	681.35554	31.95790	226.10545	-451.59179	-46.55026	115.03937	1132.94733	78.50816	0.60140	1.20116	0.05634	0.39860	-0.79611	-0.08206	193.51450	386.49912	18.12813	128.25838	-256.16557	-26.40565	0.10571	0.19109	2.24022	3.93463	384.12535	183.12493	0.67717	0.32283	1.34059	2.98650	7.01078	0.11824	0.26341	0.41000	0.31128	0.41801	11.33787	34.33994	73.74665	0.21376	1.13928	11.99742	19.00061	-0.38173	0.16499	4.08057	11.31338	3	3	3	3	0	0	2	1	0	0	0	0.26674	116	1000	30	5.58496	232.08558	81.65000	0.80000	0.87320	0.44444	0.00000	0.00000	0.00000	0.00000	8.80267	8.40223	3.75794	1.65096	1.50000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.30588	2.87443	0.25000	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	4	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.84375	7.26644	4.11033	0.23077	834.09000	0.55882	341	0.00000	0.00000	0.28868	0.27217	0.27217	0.00000	0.00000	0.05963	0.06622	0.05129	0	0	0	5	1	2	0	1	0	1247.38347	1475.34610	2085.45563	1944.02574	2002.21356	27.93844	27.87744	40.09279	36.00949	43.39336	0.57683	-0.28338	0.01078	-0.04721	0.02927	0
flucytosine	-0.66800	129.03384	0	0	1.35000	0	8	0	9	0	13	6	6	-0.03850	0.00148	25.28330	0.52296	67.48000	2	4	213.77092	244.48953	28.04358	189.21282	-216.40246	-45.47084	24.55810	460.89199	73.51442	0.53047	0.60670	0.06959	0.46953	-0.53700	-0.11284	86.14620	98.52530	11.30111	76.24969	-87.20667	-18.32401	0.28379	0.25388	4.11440	13.59412	210.75954	192.22420	0.52300	0.47700	7.85383	14.36617	0.66667	0.59999	523.95182	360.52665	163.42517	1.45330	3.20607	2.20607	3.90864	1.21219	1.15102	837.79085	28.94462	9.42711	886.53087	29.77467	9.60649	1486.96204	38.56115	11.41388	213.77092	244.48953	28.04358	189.21282	-216.40246	-45.47084	24.55810	460.89199	73.51442	0.53047	0.60670	0.06959	0.46953	-0.53700	-0.11284	86.14620	98.52530	11.30111	76.24969	-87.20667	-18.32401	0.28379	0.25388	4.11440	13.59412	210.75954	192.22420	0.52300	0.47700	0.00000	2.06871	2.74495	0.00000	0.42976	0.59002	0.52737	0.56242	4.81366	5.67851	10.49218	0.17768	1.67980	11.90000	18.99840	-0.29043	0.32461	4.14099	7.53276	1	1	1	1	0	0	0	1	0	0	0	0.55621	42	84	10	4.16993	105.32263	67.48000	0.66667	0.59999	0.40000	0.00000	0.00000	0.00000	0.00000	0.00000	1.88988	0.00000	1.65096	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.70711	0.00000	0.50000	0.00000	0.00000	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.11111	2.72222	1.70414	0.00000	97.05000	0.46154	67	0.00000	0.00000	0.00000	0.06804	0.20412	0.00000	0.00000	0.00000	0.01614	0.02200	0	0	2	1	0	0	0	0	0	339.46122	370.25269	462.18215	345.00883	113.21238	12.35645	10.74479	15.48900	13.86286	5.82732	0.35155	-0.22171	0.09316	-0.01947	-0.07804	0
fludarabine	-2.82500	365.05366	1	4	1.02000	0	10	4	26	0	37	10	9	-1.38720	1.92432	74.35850	0.53658	195.88000	5	11	298.69607	1036.86842	43.32572	307.72981	-1068.22739	-80.68406	-9.03374	2105.09581	124.00978	0.49255	1.70980	0.07144	0.50745	-1.76151	-0.13305	181.13702	628.78384	26.27384	186.61532	-647.80073	-48.92890	0.12931	0.11154	0.14246	3.45938	283.14828	323.27760	0.46691	0.53309	32.96469	41.56931	0.83333	0.88279	6291.02137	5800.66561	857.50174	1.08453	7.33645	6.76461	7.36513	3.09780	3.09780	2629.18869	51.27561	13.80195	2788.24970	52.80388	14.07485	5700.18483	75.49957	17.86335	298.69607	1036.86842	43.32572	307.72981	-1068.22739	-80.68406	-9.03374	2105.09581	124.00978	0.49255	1.70980	0.07144	0.50745	-1.76151	-0.13305	181.13702	628.78384	26.27384	186.61532	-647.80073	-48.92890	0.12931	0.11154	0.14246	3.45938	283.14828	323.27760	0.46691	0.53309	0.66708	2.41929	14.19594	0.03860	0.13999	0.28320	0.45007	0.47591	17.28231	45.42779	85.62034	0.36606	1.20917	11.99900	30.97457	-0.38776	0.46477	2.46699	9.84681	3	2	2	1	0	0	2	1	0	0	0	0.53658	132	1330	38	5.70044	254.51129	195.88000	0.83333	0.88279	0.45455	0.00000	0.00000	0.00000	0.00000	0.20000	4.99734	0.00000	10.05200	0.00000	0.00000	2.37140	2.98176	0.33333	0.00000	1.04004	0.25000	1.14471	1.19055	0.00000	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	3	0	0	1	0	4	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.78107	6.95750	3.90773	0.50000	969.14000	0.37838	440	0.00000	0.00000	0.17479	0.49276	0.90862	0.00000	0.00000	0.07423	0.14944	0.18823	0	0	2	1	0	2	3	0	0	1162.49919	1421.74742	2118.17191	2002.94926	1765.97754	38.37364	39.64507	53.72834	50.29052	48.78589	1.19805	-0.81534	0.27207	-0.02017	-0.03038	0
fludrocortisone	0.37300	380.19990	0	2	3.11000	2	4	4	30	0	56	0	0	-0.89250	0.79656	95.96930	0.24942	94.83000	3	5	416.36944	991.92709	26.30242	164.69606	-392.35945	-45.22417	251.67338	1384.28655	71.52659	0.71656	1.70708	0.04527	0.28344	-0.67524	-0.07783	241.93792	576.37462	15.28343	95.69920	-227.98655	-26.27821	0.08872	0.16348	1.63090	1.11270	380.64849	200.41702	0.65509	0.34491	34.82200	60.86400	1.00000	0.89065	5176.62955	4681.13135	1071.21059	1.10585	4.83250	4.36994	6.99562	1.83771	1.83771	2121.95911	46.06473	12.85027	2423.50329	49.22909	13.43222	5599.27290	74.82829	17.75731	416.36944	991.92709	26.30242	164.69606	-392.35945	-45.22417	251.67338	1384.28655	71.52659	0.71656	1.70708	0.04527	0.28344	-0.67524	-0.07783	241.93792	576.37462	15.28343	95.69920	-227.98655	-26.27821	0.08872	0.16348	1.63090	1.11270	380.64849	200.41702	0.65509	0.34491	1.25305	3.13900	10.62878	0.08342	0.20898	0.42457	0.51786	0.50375	15.02083	50.61548	107.44278	0.28070	1.44618	11.99615	18.99841	-0.41173	0.18998	4.53109	12.58191	4	0	1	0	0	0	1	3	0	0	0	0.24942	162	1533	66	5.90689	364.45562	94.83000	1.00000	0.89065	0.50000	0.16667	4.43919	3.30626	3.02387	9.15237	17.12444	11.91969	4.20030	9.53514	2.40685	1.64278	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	2	0	8	0	1	0	3	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.28000	6.24760	2.34000	0.80952	2779.06000	0.30357	511	0.00000	0.00000	0.07217	0.41331	1.13831	0.00000	0.00000	0.07217	0.33942	0.79081	0	0	0	3	1	3	8	4	2	2351.06564	3011.69505	5021.34254	5837.04357	4903.08145	32.37439	32.24224	56.06628	76.46393	68.32896	0.61474	-0.11199	-0.26409	0.13828	0.03483	0
fluindione	2.88500	240.05866	0	1	2.78000	0	10	0	20	0	27	12	12	3.15240	9.93763	65.37480	0.14222	34.14000	0	2	228.42278	275.63044	15.13453	244.22437	-294.69771	-40.08027	-15.80159	570.32815	55.21480	0.48328	0.58316	0.03202	0.51672	-0.62350	-0.08480	107.96338	130.27594	7.15329	115.43195	-139.28803	-18.94382	0.14786	0.24238	0.41386	10.36088	339.75101	132.89614	0.71883	0.28117	12.95786	34.56214	0.80000	0.78001	2245.44375	2164.84016	518.81846	1.03723	4.32800	4.17264	5.96923	1.94474	1.94474	1574.42329	39.67900	11.63341	1666.06585	40.81747	11.85489	3242.42965	56.94234	14.80097	228.42278	275.63044	15.13453	244.22437	-294.69771	-40.08027	-15.80159	570.32815	55.21480	0.48328	0.58316	0.03202	0.51672	-0.62350	-0.08480	107.96338	130.27594	7.15329	115.43195	-139.28803	-18.94382	0.14786	0.24238	0.41386	10.36088	339.75101	132.89614	0.71883	0.28117	1.31410	1.42025	9.05080	0.11150	0.12051	0.29378	0.36627	0.53348	11.78515	26.61435	55.29139	0.32599	1.19353	11.85000	18.99841	-0.29347	0.21612	4.06614	10.51013	3	2	2	2	0	0	1	2	0	0	0	0.14222	98	567	30	5.32193	211.68319	34.14000	0.80000	0.78001	0.44444	0.00000	0.00000	0.00000	0.00000	8.13062	18.90433	0.00000	9.64646	0.00000	0.00000	0.25000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	0	0	0	0	0	8	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.00500	5.17479	2.28435	0.06667	535.03000	0.55556	275	0.00000	0.00000	0.06415	0.42273	0.74832	0.00000	0.00000	0.03608	0.14473	0.18683	0	0	0	11	3	0	0	1	0	1134.31696	1370.13569	1992.72053	1915.27315	1482.07711	21.05098	21.24597	31.49194	33.82031	29.01299	0.32647	-0.05892	-0.06246	-0.11887	0.12840	0
flumazenil	2.91500	303.10192	0	3	2.34000	0	17	5	24	0	36	11	11	1.97180	3.88800	77.00430	0.21257	64.43000	0	5	398.51639	737.47153	25.82547	206.79338	-382.67994	-39.74050	191.72301	1120.15147	65.56597	0.65837	1.21834	0.04266	0.34163	-0.63221	-0.06565	241.22587	446.39873	15.63241	125.17406	-231.63991	-24.05531	0.16924	0.16798	2.22469	2.11444	432.92122	172.38856	0.71521	0.28479	25.61990	41.99810	0.83333	0.90725	4231.77563	3601.93648	802.97075	1.17486	5.27015	4.48576	6.91224	1.87348	1.49526	2018.92189	44.93241	12.63882	2157.14365	46.44506	12.92091	4380.70005	66.18686	16.36243	398.51639	737.47153	25.82547	206.79338	-382.67994	-39.74050	191.72301	1120.15147	65.56597	0.65837	1.21834	0.04266	0.34163	-0.63221	-0.06565	241.22587	446.39873	15.63241	125.17406	-231.63991	-24.05531	0.16924	0.16798	2.22469	2.11444	432.92122	172.38856	0.71521	0.28479	0.54062	3.50621	13.80522	0.03028	0.19640	0.30916	0.46113	0.47564	17.85206	57.76295	101.78320	0.32998	1.24593	11.85000	18.99841	-0.31097	0.31327	4.33990	10.60921	3	2	1	2	0	0	1	1	1	0	0	0.21257	118	956	41	5.58496	256.10016	64.43000	0.83333	0.90725	0.45455	0.12500	2.44438	3.03940	0.00000	3.83269	14.26933	0.00000	7.72896	0.00000	0.00000	0.14286	0.53452	0.00000	0.00000	0.00000	0.00000	0.00000	0.70711	0.33333	0	0	0	0	0	0	2	0	2	0	0	4	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.84375	6.85714	3.16535	0.26667	982.07000	0.38889	377	0.00000	0.00000	0.09623	0.24719	0.46273	0.00000	0.00000	0.02887	0.07334	0.09597	0	0	2	7	1	3	0	0	0	1433.38581	1735.17437	2556.48890	2907.51032	2555.39742	26.90539	27.23961	40.50930	47.45075	47.33631	0.68924	-0.42971	0.10216	0.03628	-0.13596	0
flunarizine	5.62500	404.20641	1	6	3.88000	3	8	3	33	2	56	18	18	6.19020	38.31858	120.14740	0.01603	6.48000	0	2	480.99970	874.74109	28.14812	303.46136	-551.87170	-30.65224	177.53834	1426.61279	58.80036	0.61316	1.11509	0.03588	0.38684	-0.70350	-0.03907	377.32553	686.20032	22.08110	238.05362	-432.92185	-24.04549	0.06767	0.16316	0.49588	0.45652	685.66752	98.79353	0.87406	0.12594	34.78938	66.41062	1.00000	0.97132	11140.63726	9583.64811	2242.05525	1.16246	4.96894	4.27449	9.82501	2.23750	2.23750	2483.10019	49.83072	13.54144	2742.86492	52.37237	13.99807	5348.18513	73.13129	17.48781	480.99970	874.74109	28.14812	303.46136	-551.87170	-30.65224	177.53834	1426.61279	58.80036	0.61316	1.11509	0.03588	0.38684	-0.70350	-0.03907	377.32553	686.20032	22.08110	238.05362	-432.92185	-24.04549	0.06767	0.16316	0.49588	0.45652	685.66752	98.79353	0.87406	0.12594	1.71509	3.91944	21.93829	0.06220	0.14215	0.44328	0.34184	0.49577	27.57282	130.33412	305.38012	0.34674	1.28088	11.85000	18.99941	-0.29693	0.12463	4.11547	12.12042	4	3	4	3	0	0	0	4	0	0	0	0.01603	154	2790	44	6.04439	383.89028	6.48000	1.00000	0.97132	0.50000	0.00000	0.00000	0.00000	0.00000	35.60846	25.02052	0.00000	3.36822	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.33333	0	0	0	0	0	0	0	0	5	0	2	13	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.16804	11.74380	6.75000	0.23077	2611.04000	0.50000	821	0.00000	0.00000	0.00000	0.35206	0.44210	0.00000	0.00000	0.00000	0.13763	0.13581	0	0	0	17	3	5	1	0	0	2083.70059	2414.01259	3255.79674	3357.70769	3063.51105	33.72405	35.16066	47.49041	47.51803	42.32684	0.32039	-0.17516	-0.06243	0.13266	-0.05857	0
flunisolide	1.12200	434.21047	0	2	3.33000	2	6	4	35	0	62	0	0	-0.52210	0.27259	110.31830	0.21432	93.06000	2	6	436.73236	1152.68355	25.57306	201.82885	-532.69419	-47.09962	234.90352	1685.37774	72.67268	0.68393	1.80513	0.04005	0.31607	-0.83421	-0.07376	278.88035	736.05900	16.32997	128.88007	-340.15784	-30.07599	0.07976	0.14869	1.51918	0.83845	447.57322	190.98800	0.70091	0.29909	40.84042	68.27958	1.00000	0.81454	6406.20204	5832.06470	1529.07572	1.09844	4.18959	3.81411	7.46584	2.15943	2.15943	2576.15468	50.75583	13.70852	2892.43130	53.78133	14.24801	6908.31865	83.11630	19.04543	436.73236	1152.68355	25.57306	201.82885	-532.69419	-47.09962	234.90352	1685.37774	72.67268	0.68393	1.80513	0.04005	0.31607	-0.83421	-0.07376	278.88035	736.05900	16.32997	128.88007	-340.15784	-30.07599	0.07976	0.14869	1.51918	0.83845	447.57322	190.98800	0.70091	0.29909	1.87783	3.22117	11.63141	0.11224	0.19253	0.49122	0.48427	0.50263	16.73041	65.35736	152.44388	0.27142	1.47813	11.99613	18.99841	-0.41172	0.19321	4.69487	13.15380	5	0	1	0	0	0	2	3	0	0	0	0.21432	190	2209	72	6.12928	410.14088	93.06000	1.00000	0.81454	0.50000	1.11485	5.35694	7.65291	5.09852	4.95987	19.84996	7.66224	11.40507	11.60189	1.95331	0.85864	1.48226	0.50000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0	0	0	0	0	0	4	0	4	0	3	0	6	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.77551	7.00833	2.84024	0.75000	3426.07000	0.32258	620	0.00000	0.00000	0.13109	0.66258	1.74026	0.00000	0.00000	0.08298	0.39873	0.95423	0	0	0	5	1	5	7	4	2	2787.34113	3610.23070	6101.13572	6969.49120	6438.23343	37.14886	38.23852	67.25151	80.60777	86.76389	0.84407	-0.29451	-0.18845	0.10183	0.01182	0
